                    *********************************************************************************
                    *  Z= 80 A=200: Positive-Parity Spin-dependent Level Density [MeV-1] for HG200  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   4.75  0.511  8.33E+02 1.39E+03 8.47E+03 1.92E+02 2.11E+02 3.69E+02 2.35E+02 1.83E+02 9.19E+01 5.96E+01 2.73E+01 1.12E+01 3.78E+00 2.34E+00 5.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.524  1.24E+03 1.89E+03 1.20E+04 2.37E+02 2.83E+02 4.81E+02 3.34E+02 2.50E+02 1.33E+02 9.13E+01 4.29E+01 2.50E+01 5.09E+00 4.26E+00 1.20E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.550  2.80E+03 4.34E+03 2.81E+04 5.73E+02 7.09E+02 1.04E+03 7.02E+02 5.25E+02 3.06E+02 2.22E+02 1.21E+02 8.16E+01 3.84E+01 1.44E+01 3.59E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.574  6.46E+03 1.03E+04 6.77E+04 1.34E+03 1.68E+03 2.51E+03 1.63E+03 1.26E+03 7.48E+02 4.94E+02 2.89E+02 1.84E+02 1.08E+02 5.64E+01 2.23E+01 7.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.598  1.51E+04 2.43E+04 1.64E+05 2.94E+03 3.64E+03 5.78E+03 4.01E+03 3.11E+03 1.94E+03 1.25E+03 6.98E+02 4.40E+02 2.46E+02 1.36E+02 6.13E+01 2.99E+01 1.08E+01 2.40E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.620  3.51E+04 5.56E+04 3.94E+05 6.19E+03 7.72E+03 1.26E+04 9.20E+03 7.21E+03 4.91E+03 3.29E+03 2.00E+03 1.19E+03 6.12E+02 3.31E+02 1.47E+02 8.50E+01 3.17E+01 1.26E+01 5.99E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.642  8.03E+04 1.25E+05 9.22E+05 1.37E+04 1.68E+04 2.74E+04 2.01E+04 1.59E+04 1.10E+04 7.90E+03 5.28E+03 3.43E+03 1.81E+03 9.86E+02 4.54E+02 2.21E+02 8.74E+01 4.01E+01 1.26E+01 5.99E+00 1.80E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.663  1.82E+05 2.82E+05 2.13E+06 3.04E+04 3.73E+04 6.04E+04 4.42E+04 3.56E+04 2.47E+04 1.79E+04 1.22E+04 8.38E+03 4.85E+03 2.99E+03 1.55E+03 7.63E+02 3.07E+02 1.19E+02 4.01E+01 1.44E+01 8.72E+00 1.80E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.684  4.10E+05 6.31E+05 4.86E+06 6.63E+04 8.08E+04 1.33E+05 9.90E+04 8.09E+04 5.68E+04 4.06E+04 2.78E+04 1.83E+04 1.13E+04 7.40E+03 4.35E+03 2.41E+03 1.14E+03 4.92E+02 1.66E+02 5.75E+01 1.53E+01 6.59E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.704  9.19E+05 1.41E+06 1.11E+07 1.44E+05 1.73E+05 2.91E+05 2.18E+05 1.81E+05 1.31E+05 9.49E+04 6.57E+04 4.05E+04 2.61E+04 1.71E+04 1.05E+04 6.23E+03 3.37E+03 1.68E+03 7.23E+02 2.90E+02 7.16E+01 1.98E+01 4.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.723  2.05E+06 3.11E+06 2.50E+07 3.12E+05 3.74E+05 6.30E+05 4.75E+05 3.96E+05 2.91E+05 2.17E+05 1.56E+05 9.58E+04 6.44E+04 4.18E+04 2.54E+04 1.50E+04 8.37E+03 4.59E+03 2.25E+03 1.08E+03 3.95E+02 1.33E+02 3.41E+01 2.40E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.742  4.52E+06 6.79E+06 5.56E+07 6.73E+05 8.02E+05 1.36E+06 1.02E+06 8.60E+05 6.34E+05 4.81E+05 3.26E+05 2.21E+05 1.57E+05 1.06E+05 6.61E+04 3.92E+04 2.17E+04 1.16E+04 5.88E+03 2.92E+03 1.36E+03 5.53E+02 1.90E+02 4.85E+01 8.38E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.778  2.38E+07 3.18E+07 2.69E+08 3.08E+06 3.62E+06 6.23E+06 4.73E+06 4.03E+06 3.01E+06 2.31E+06 1.40E+06 1.06E+06 7.96E+05 5.75E+05 3.94E+05 2.57E+05 1.57E+05 9.01E+04 4.76E+04 2.35E+04 1.08E+04 4.63E+03 1.90E+03 7.89E+02 2.73E+02 9.28E+01 2.40E+01 2.99E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.812  1.12E+08 1.44E+08 1.25E+09 1.39E+07 1.61E+07 2.81E+07 2.13E+07 1.84E+07 1.39E+07 8.48E+06 6.40E+06 5.16E+06 4.00E+06 2.95E+06 2.07E+06 1.39E+06 8.95E+05 5.54E+05 3.27E+05 1.85E+05 9.80E+04 4.86E+04 2.18E+04 9.03E+03 3.18E+03 1.07E+03 3.19E+02 8.98E+01 2.28E+01 5.99E+00 5.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.846  4.94E+08 6.20E+08 5.47E+09 6.13E+07 7.04E+07 1.24E+08 9.45E+07 7.42E+07 4.49E+07 3.37E+07 2.83E+07 2.37E+07 1.91E+07 1.47E+07 1.08E+07 7.61E+06 5.09E+06 3.25E+06 1.98E+06 1.15E+06 6.39E+05 3.43E+05 1.76E+05 8.65E+04 3.98E+04 1.70E+04 6.37E+03 2.11E+03 5.43E+02 1.39E+02 1.68E+01 2.99E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.877  2.05E+09 2.49E+09 2.27E+10 2.66E+08 3.03E+08 5.39E+08 3.19E+08 2.18E+08 1.58E+08 1.39E+08 1.24E+08 1.07E+08 8.77E+07 6.91E+07 5.23E+07 3.80E+07 2.66E+07 1.79E+07 1.16E+07 7.17E+06 4.24E+06 2.38E+06 1.27E+06 6.41E+05 3.08E+05 1.41E+05 6.21E+04 2.64E+04 1.04E+04 3.71E+03 1.15E+03 3.16E+02 4.85E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
