                    *********************************************************************************
                    *  Z= 31 A= 70: Positive-Parity Spin-dependent Level Density [MeV-1] for GA 70  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   4.75  0.864  6.33E+02 8.42E+02 7.53E+03 1.02E+02 7.79E+01 1.42E+02 1.16E+02 9.47E+01 8.39E+01 5.98E+01 5.35E+01 3.87E+01 2.40E+01 1.67E+01 1.20E+01 7.86E+00 4.92E+00 4.64E+00 2.97E+00 6.31E-02 5.94E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.886  8.77E+02 1.11E+03 1.02E+04 1.21E+02 1.11E+02 1.85E+02 1.49E+02 1.35E+02 1.02E+02 9.13E+01 6.02E+01 4.93E+01 3.43E+01 1.73E+01 2.02E+01 1.18E+01 9.64E+00 8.20E+00 3.40E+00 1.85E+00 1.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.930  1.66E+03 2.04E+03 1.93E+04 2.00E+02 2.04E+02 3.56E+02 2.59E+02 2.54E+02 1.83E+02 1.58E+02 1.24E+02 6.66E+01 6.82E+01 3.10E+01 3.24E+01 3.08E+01 2.08E+01 2.25E+01 1.12E+01 9.05E+00 2.97E+00 1.69E+00 1.19E+00 7.03E-01 5.94E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.971  3.10E+03 3.69E+03 3.60E+04 3.50E+02 3.33E+02 6.39E+02 5.08E+02 4.42E+02 3.49E+02 2.75E+02 1.94E+02 1.65E+02 1.00E+02 6.38E+01 6.69E+01 5.26E+01 5.05E+01 3.36E+01 2.90E+01 2.09E+01 8.58E+00 6.28E+00 3.96E+00 1.30E+00 5.94E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  1.011  5.68E+03 6.63E+03 6.62E+04 5.52E+02 6.02E+02 1.13E+03 8.64E+02 8.67E+02 6.27E+02 4.91E+02 3.85E+02 2.62E+02 2.21E+02 1.24E+02 1.06E+02 1.13E+02 7.43E+01 6.12E+01 5.71E+01 4.21E+01 1.93E+01 1.52E+01 8.71E+00 4.86E+00 1.48E+00 5.94E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  1.049  1.04E+04 1.22E+04 1.23E+05 1.04E+03 1.06E+03 2.05E+03 1.62E+03 1.52E+03 1.18E+03 9.33E+02 7.00E+02 5.65E+02 3.28E+02 2.42E+02 2.20E+02 1.75E+02 1.57E+02 1.30E+02 9.51E+01 7.23E+01 3.67E+01 3.27E+01 1.83E+01 1.14E+01 9.80E+00 3.76E+00 2.97E+00 1.90E-01 5.94E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  1.086  1.90E+04 2.23E+04 2.28E+05 1.82E+03 1.92E+03 3.77E+03 2.94E+03 2.84E+03 2.14E+03 1.71E+03 1.33E+03 9.61E+02 6.02E+02 4.60E+02 3.87E+02 3.57E+02 2.95E+02 2.46E+02 1.63E+02 1.16E+02 7.74E+01 6.69E+01 3.09E+01 2.74E+01 2.42E+01 1.86E+01 5.29E+00 4.13E+00 4.16E+00 1.80E-01 5.94E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  1.121  3.46E+04 4.01E+04 4.12E+05 3.25E+03 3.38E+03 6.80E+03 5.42E+03 4.99E+03 3.82E+03 3.10E+03 2.30E+03 1.85E+03 9.79E+02 8.44E+02 7.56E+02 6.01E+02 5.84E+02 4.07E+02 3.02E+02 2.17E+02 1.44E+02 1.28E+02 5.53E+01 6.25E+01 5.00E+01 3.56E+01 1.91E+01 1.42E+01 7.88E+00 3.76E+00 2.38E+00 8.03E-02 5.94E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  1.156  6.24E+04 7.11E+04 7.35E+05 5.62E+03 6.05E+03 1.21E+04 9.47E+03 9.01E+03 6.80E+03 5.42E+03 4.19E+03 2.85E+03 1.85E+03 1.52E+03 1.28E+03 1.20E+03 9.59E+02 7.46E+02 5.66E+02 4.11E+02 3.08E+02 2.04E+02 1.46E+02 1.26E+02 9.46E+01 6.89E+01 4.94E+01 3.41E+01 1.56E+01 7.32E+00 7.38E+00 1.27E+00 5.94E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  1.189  1.12E+05 1.25E+05 1.31E+06 1.00E+04 1.05E+04 2.12E+04 1.68E+04 1.57E+04 1.21E+04 9.63E+03 7.38E+03 4.61E+03 3.10E+03 2.79E+03 2.41E+03 2.04E+03 1.76E+03 1.33E+03 1.11E+03 8.03E+02 5.66E+02 4.37E+02 2.88E+02 2.56E+02 1.78E+02 1.28E+02 1.01E+02 5.69E+01 3.64E+01 1.92E+01 1.81E+01 4.90E+00 1.78E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
