                    *********************************************************************************
                    *  Z= 78 A=196: Positive-Parity Spin-dependent Level Density [MeV-1] for PT196  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   4.75  0.516  1.61E+03 2.81E+03 1.90E+04 3.24E+02 3.12E+02 6.86E+02 4.95E+02 4.98E+02 2.45E+02 1.50E+02 5.63E+01 2.94E+01 9.35E+00 7.40E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.530  2.46E+03 3.93E+03 2.70E+04 4.24E+02 4.71E+02 9.16E+02 6.87E+02 6.75E+02 3.63E+02 2.34E+02 9.24E+01 4.62E+01 1.51E+01 9.55E+00 2.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.556  5.75E+03 9.25E+03 6.51E+04 9.85E+02 1.09E+03 2.14E+03 1.52E+03 1.52E+03 8.77E+02 6.19E+02 2.66E+02 1.42E+02 5.17E+01 2.71E+01 5.42E+00 4.93E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.580  1.37E+04 2.26E+04 1.62E+05 2.28E+03 2.58E+03 5.22E+03 3.84E+03 3.64E+03 2.12E+03 1.51E+03 7.42E+02 4.03E+02 1.64E+02 7.69E+01 2.11E+01 1.57E+01 3.28E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.604  3.29E+04 5.41E+04 4.01E+05 5.13E+03 5.58E+03 1.21E+04 9.24E+03 9.04E+03 5.29E+03 3.75E+03 1.97E+03 1.09E+03 4.85E+02 2.42E+02 8.00E+01 4.56E+01 9.21E+00 6.02E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.627  7.79E+04 1.26E+05 9.65E+05 1.13E+04 1.26E+04 2.68E+04 2.09E+04 2.12E+04 1.31E+04 9.35E+03 5.10E+03 2.91E+03 1.37E+03 7.34E+02 2.90E+02 1.25E+02 3.73E+01 2.03E+01 4.38E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.649  1.81E+05 2.88E+05 2.27E+06 2.50E+04 2.80E+04 5.99E+04 4.66E+04 4.75E+04 3.07E+04 2.25E+04 1.27E+04 7.58E+03 3.86E+03 2.06E+03 9.41E+02 4.22E+02 1.29E+02 6.02E+01 1.59E+01 8.76E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.670  4.19E+05 6.62E+05 5.31E+06 5.59E+04 6.31E+04 1.36E+05 1.07E+05 1.08E+05 7.00E+04 5.26E+04 3.10E+04 1.89E+04 1.03E+04 5.69E+03 2.79E+03 1.37E+03 4.77E+02 1.86E+02 5.75E+01 3.17E+01 6.57E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.691  9.65E+05 1.52E+06 1.24E+07 1.25E+05 1.40E+05 3.05E+05 2.43E+05 2.48E+05 1.62E+05 1.23E+05 7.47E+04 4.60E+04 2.58E+04 1.50E+04 7.91E+03 3.59E+03 1.58E+03 6.87E+02 2.28E+02 1.02E+02 2.46E+01 1.20E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.711  2.21E+06 3.45E+06 2.88E+07 2.75E+05 3.08E+05 6.76E+05 5.42E+05 5.62E+05 3.72E+05 2.85E+05 1.78E+05 1.12E+05 6.38E+04 3.84E+04 2.11E+04 9.44E+03 4.57E+03 2.26E+03 8.78E+02 3.40E+02 9.69E+01 4.65E+01 8.21E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
