                    *********************************************************************************
                    *  Z= 66 A=162: Positive-Parity Spin-dependent Level Density [MeV-1] for DY162  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   4.75  0.568  3.73E+03 6.76E+03 7.03E+04 3.46E+02 3.38E+02 9.65E+02 7.79E+02 1.10E+03 7.62E+02 8.37E+02 5.43E+02 4.49E+02 2.59E+02 1.85E+02 9.26E+01 6.14E+01 2.50E+01 1.41E+01 2.14E+00 2.48E+00 5.26E-01 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.583  5.79E+03 9.68E+03 1.02E+05 4.93E+02 4.67E+02 1.36E+03 1.09E+03 1.55E+03 1.09E+03 1.20E+03 7.93E+02 6.64E+02 3.93E+02 2.72E+02 1.40E+02 9.04E+01 4.03E+01 2.38E+01 6.20E+00 4.06E+00 5.26E-01 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.611  1.38E+04 2.24E+04 2.43E+05 1.07E+03 1.03E+03 2.96E+03 2.40E+03 3.43E+03 2.53E+03 2.82E+03 1.92E+03 1.61E+03 1.02E+03 7.48E+02 3.94E+02 2.28E+02 1.12E+02 6.15E+01 2.24E+01 1.25E+01 2.65E+00 1.24E+00 0.00E+00 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.638  3.20E+04 5.05E+04 5.61E+05 2.30E+03 2.23E+03 6.48E+03 5.32E+03 7.56E+03 5.60E+03 6.30E+03 4.41E+03 3.75E+03 2.47E+03 1.85E+03 1.03E+03 6.24E+02 2.80E+02 1.54E+02 6.31E+01 3.32E+01 8.56E+00 5.11E+00 5.26E-01 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.664  7.31E+04 1.14E+05 1.28E+06 5.03E+03 4.90E+03 1.43E+04 1.18E+04 1.67E+04 1.25E+04 1.41E+04 9.99E+03 8.54E+03 5.74E+03 4.37E+03 2.55E+03 1.63E+03 7.89E+02 4.25E+02 1.76E+02 9.47E+01 3.06E+01 1.48E+01 3.73E+00 1.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.689  1.66E+05 2.56E+05 2.94E+06 1.10E+04 1.07E+04 3.14E+04 2.61E+04 3.74E+04 2.82E+04 3.16E+04 2.27E+04 1.95E+04 1.34E+04 1.01E+04 6.08E+03 3.99E+03 2.09E+03 1.16E+03 4.84E+02 2.57E+02 9.85E+01 4.13E+01 1.10E+01 6.44E+00 1.24E+00 5.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.714  3.73E+05 5.73E+05 6.68E+06 2.35E+04 2.32E+04 6.80E+04 5.69E+04 8.20E+04 6.32E+04 7.10E+04 5.16E+04 4.43E+04 3.09E+04 2.36E+04 1.44E+04 9.48E+03 5.26E+03 3.02E+03 1.36E+03 7.22E+02 2.83E+02 1.30E+02 4.40E+01 1.90E+01 4.22E+00 1.62E+00 2.38E-01 3.76E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.737  8.33E+05 1.27E+06 1.50E+07 5.04E+04 4.98E+04 1.46E+05 1.23E+05 1.78E+05 1.39E+05 1.57E+05 1.15E+05 1.00E+05 7.10E+04 5.47E+04 3.42E+04 2.26E+04 1.28E+04 7.60E+03 3.68E+03 2.00E+03 8.28E+02 3.87E+02 1.39E+02 6.17E+01 1.76E+01 4.89E+00 8.02E-01 9.02E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.760  1.84E+06 2.77E+06 3.34E+07 1.07E+05 1.06E+05 3.11E+05 2.63E+05 3.81E+05 3.01E+05 3.40E+05 2.53E+05 2.23E+05 1.60E+05 1.25E+05 7.94E+04 5.34E+04 3.10E+04 1.85E+04 9.31E+03 5.30E+03 2.36E+03 1.12E+03 4.46E+02 2.02E+02 5.24E+01 1.54E+01 2.67E+00 1.84E+00 4.22E-01 3.76E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.782  4.03E+06 6.00E+06 7.33E+07 2.26E+05 2.24E+05 6.58E+05 5.58E+05 8.12E+05 6.46E+05 7.31E+05 5.49E+05 4.87E+05 3.55E+05 2.79E+05 1.81E+05 1.24E+05 7.37E+04 4.45E+04 2.31E+04 1.35E+04 6.37E+03 3.12E+03 1.30E+03 5.06E+02 1.30E+02 4.24E+01 1.04E+01 5.38E+00 9.86E-01 1.13E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
