                    *********************************************************************************
                    *  Z= 68 A=168: Positive-Parity Spin-dependent Level Density [MeV-1] for ER168  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   5.00  0.572  4.68E+03 7.61E+03 8.50E+04 3.58E+02 3.36E+02 9.79E+02 7.72E+02 1.12E+03 8.82E+02 9.39E+02 6.46E+02 5.86E+02 3.62E+02 2.79E+02 1.61E+02 1.05E+02 4.96E+01 2.90E+01 7.58E+00 5.02E+00 1.06E+00 5.28E-01 0.00E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.600  1.09E+04 1.74E+04 1.99E+05 7.74E+02 7.21E+02 2.12E+03 1.72E+03 2.48E+03 2.00E+03 2.15E+03 1.52E+03 1.35E+03 8.94E+02 7.03E+02 3.88E+02 2.70E+02 1.34E+02 8.01E+01 3.34E+01 1.54E+01 3.11E+00 2.56E+00 0.00E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.627  2.52E+04 3.96E+04 4.62E+05 1.67E+03 1.60E+03 4.68E+03 3.88E+03 5.54E+03 4.56E+03 4.87E+03 3.49E+03 3.16E+03 2.09E+03 1.65E+03 9.84E+02 6.85E+02 3.49E+02 2.26E+02 8.98E+01 5.16E+01 1.34E+01 6.71E+00 1.32E+00 5.28E-01 0.00E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.652  5.74E+04 8.93E+04 1.06E+06 3.60E+03 3.49E+03 1.02E+04 8.54E+03 1.22E+04 1.02E+04 1.09E+04 7.99E+03 7.17E+03 4.92E+03 3.95E+03 2.38E+03 1.66E+03 9.37E+02 5.47E+02 2.62E+02 1.33E+02 5.07E+01 2.18E+01 4.15E+00 2.38E+00 0.00E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.677  1.30E+05 2.00E+05 2.42E+06 7.81E+03 7.56E+03 2.23E+04 1.87E+04 2.69E+04 2.27E+04 2.44E+04 1.80E+04 1.63E+04 1.14E+04 9.17E+03 5.68E+03 4.06E+03 2.27E+03 1.43E+03 6.91E+02 3.66E+02 1.50E+02 7.24E+01 1.80E+01 8.08E+00 2.14E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.701  2.91E+05 4.43E+05 5.45E+06 1.66E+04 1.64E+04 4.81E+04 4.03E+04 5.84E+04 4.99E+04 5.38E+04 4.03E+04 3.67E+04 2.59E+04 2.11E+04 1.35E+04 9.57E+03 5.66E+03 3.56E+03 1.80E+03 9.91E+02 4.42E+02 2.08E+02 7.30E+01 2.84E+01 7.22E+00 2.72E+00 1.86E-01 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.724  6.46E+05 9.77E+05 1.22E+07 3.55E+04 3.51E+04 1.03E+05 8.71E+04 1.26E+05 1.09E+05 1.18E+05 8.89E+04 8.16E+04 5.86E+04 4.81E+04 3.11E+04 2.24E+04 1.37E+04 8.64E+03 4.60E+03 2.55E+03 1.24E+03 6.01E+02 2.33E+02 1.04E+02 3.00E+01 1.02E+01 2.11E+00 9.01E-01 1.86E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.746  1.42E+06 2.13E+06 2.70E+07 7.53E+04 7.43E+04 2.19E+05 1.86E+05 2.70E+05 2.36E+05 2.56E+05 1.94E+05 1.80E+05 1.30E+05 1.08E+05 7.13E+04 5.19E+04 3.24E+04 2.09E+04 1.15E+04 6.52E+03 3.24E+03 1.67E+03 6.98E+02 3.19E+02 1.09E+02 3.34E+01 6.77E+00 2.95E+00 5.07E-01 9.94E-01 1.86E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.768  3.11E+06 4.61E+06 5.92E+07 1.59E+05 1.57E+05 4.64E+05 3.95E+05 5.77E+05 5.05E+05 5.49E+05 4.21E+05 3.92E+05 2.87E+05 2.40E+05 1.61E+05 1.18E+05 7.55E+04 4.93E+04 2.79E+04 1.61E+04 8.43E+03 4.43E+03 2.02E+03 9.55E+02 3.00E+02 1.07E+02 2.24E+01 9.05E+00 2.74E+00 2.30E+00 2.93E-01 1.86E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.789  6.74E+06 9.90E+06 1.29E+08 3.32E+05 3.31E+05 9.74E+05 8.35E+05 1.22E+06 1.07E+06 1.17E+06 9.06E+05 8.48E+05 6.27E+05 5.29E+05 3.58E+05 2.67E+05 1.73E+05 1.15E+05 6.67E+04 3.93E+04 2.13E+04 1.15E+04 5.48E+03 2.37E+03 7.76E+02 2.65E+02 6.13E+01 3.18E+01 8.35E+00 3.60E+00 1.78E+00 7.46E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
