                    *********************************************************************************
                    *  Z= 26 A= 58: Positive-Parity Spin-dependent Level Density [MeV-1] for FE 58  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   5.50  1.021  1.59E+02 1.37E+02 7.91E+02 2.31E+01 2.44E+01 3.51E+01 2.00E+01 1.64E+01 6.70E+00 6.18E+00 2.85E+00 7.14E-01 5.23E-01 0.00E+00 5.94E-03 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  1.067  2.52E+02 2.35E+02 1.33E+03 4.45E+01 3.80E+01 5.97E+01 3.74E+01 2.65E+01 1.42E+01 8.09E+00 3.67E+00 1.24E+00 6.21E-01 5.23E-01 5.94E-03 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  1.110  4.02E+02 3.66E+02 2.24E+03 5.98E+01 5.18E+01 9.56E+01 6.00E+01 4.45E+01 2.50E+01 1.41E+01 7.39E+00 3.44E+00 1.67E+00 1.08E+00 5.77E-01 1.05E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  1.152  6.38E+02 5.78E+02 3.57E+03 9.12E+01 8.06E+01 1.49E+02 9.53E+01 7.28E+01 4.44E+01 2.20E+01 1.05E+01 6.51E+00 2.37E+00 2.65E+00 5.72E-01 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  1.193  1.01E+03 8.92E+02 5.69E+03 1.23E+02 1.28E+02 2.26E+02 1.48E+02 1.21E+02 6.40E+01 4.04E+01 1.95E+01 1.06E+01 4.56E+00 2.90E+00 1.64E+00 1.09E+00 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  1.232  1.59E+03 1.43E+03 9.18E+03 2.08E+02 1.97E+02 3.58E+02 2.33E+02 1.99E+02 1.02E+02 6.72E+01 3.44E+01 1.76E+01 7.30E+00 4.96E+00 2.18E+00 1.09E+00 1.05E+00 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  1.270  2.51E+03 2.25E+03 1.48E+04 3.04E+02 2.89E+02 5.67E+02 3.70E+02 3.16E+02 1.79E+02 1.04E+02 6.22E+01 2.66E+01 1.13E+01 8.02E+00 3.93E+00 4.23E+00 1.58E+00 1.05E+00 5.23E-01 0.00E+00 2.79E-05 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  1.306  3.96E+03 3.58E+03 2.39E+04 4.70E+02 4.49E+02 8.79E+02 6.08E+02 5.15E+02 2.91E+02 1.75E+02 8.83E+01 4.56E+01 1.71E+01 1.51E+01 9.91E+00 4.55E+00 3.79E+00 1.57E+00 5.47E-01 1.05E+00 2.79E-05 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  1.342  6.27E+03 5.64E+03 3.80E+04 7.05E+02 7.15E+02 1.37E+03 9.73E+02 8.37E+02 4.66E+02 2.84E+02 1.20E+02 6.92E+01 3.73E+01 2.24E+01 1.40E+01 9.26E+00 5.04E+00 4.26E+00 2.12E+00 1.06E+00 5.24E-01 1.05E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  1.377  9.92E+03 8.98E+03 6.11E+04 1.12E+03 1.11E+03 2.16E+03 1.55E+03 1.32E+03 7.70E+02 4.68E+02 1.91E+02 1.09E+02 6.66E+01 4.08E+01 2.44E+01 1.50E+01 9.48E+00 6.65E+00 3.21E+00 2.62E+00 5.24E-01 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
