                    *********************************************************************************
                    *  Z= 73 A=181: Positive-Parity Spin-dependent Level Density [MeV-1] for TA181  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   4.75  0.537  2.53E+04 4.73E+04 5.74E+05 1.87E+03 3.66E+03 5.07E+03 5.83E+03 6.14E+03 5.70E+03 4.99E+03 4.09E+03 3.21E+03 2.34E+03 1.65E+03 1.12E+03 6.71E+02 4.33E+02 2.29E+02 1.36E+02 6.57E+01 3.16E+01 1.76E+01 6.50E+00 4.31E+00 5.73E-01 9.29E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.551  3.98E+04 6.82E+04 8.31E+05 2.69E+03 5.33E+03 7.34E+03 8.40E+03 8.71E+03 8.09E+03 7.15E+03 5.85E+03 4.72E+03 3.42E+03 2.37E+03 1.68E+03 1.01E+03 6.50E+02 3.54E+02 2.09E+02 1.03E+02 5.40E+01 2.81E+01 1.29E+01 7.50E+00 2.22E+00 1.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.578  9.79E+04 1.65E+05 2.04E+06 6.32E+03 1.24E+04 1.72E+04 1.98E+04 2.07E+04 1.94E+04 1.73E+04 1.42E+04 1.15E+04 8.57E+03 6.01E+03 4.34E+03 2.76E+03 1.76E+03 1.00E+03 5.94E+02 3.14E+02 1.78E+02 9.19E+01 5.37E+01 2.26E+01 9.34E+00 4.55E+00 1.21E+00 1.36E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.604  2.37E+05 3.92E+05 4.96E+06 1.46E+04 2.88E+04 4.01E+04 4.63E+04 4.85E+04 4.54E+04 4.11E+04 3.41E+04 2.81E+04 2.10E+04 1.51E+04 1.11E+04 7.09E+03 4.67E+03 2.73E+03 1.66E+03 9.53E+02 5.65E+02 3.17E+02 1.67E+02 9.00E+01 3.81E+01 2.19E+01 1.18E+01 4.61E+00 1.85E+00 1.36E+00 2.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.629  5.65E+05 9.21E+05 1.18E+07 3.32E+04 6.57E+04 9.16E+04 1.06E+05 1.12E+05 1.06E+05 9.61E+04 8.02E+04 6.68E+04 5.09E+04 3.69E+04 2.73E+04 1.79E+04 1.20E+04 7.29E+03 4.59E+03 2.66E+03 1.60E+03 9.41E+02 5.36E+02 2.89E+02 1.57E+02 7.60E+01 4.51E+01 2.14E+01 1.30E+01 7.36E+00 2.87E+00 9.29E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.652  1.33E+06 2.14E+06 2.79E+07 7.54E+04 1.49E+05 2.08E+05 2.42E+05 2.56E+05 2.43E+05 2.22E+05 1.87E+05 1.57E+05 1.21E+05 8.86E+04 6.67E+04 4.44E+04 3.02E+04 1.88E+04 1.21E+04 7.33E+03 4.49E+03 2.78E+03 1.63E+03 9.46E+02 4.76E+02 2.62E+02 1.46E+02 7.83E+01 5.10E+01 2.41E+01 8.73E+00 3.65E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.675  3.09E+06 4.89E+06 6.48E+07 1.69E+05 3.34E+05 4.65E+05 5.39E+05 5.75E+05 5.51E+05 5.07E+05 4.28E+05 3.62E+05 2.81E+05 2.09E+05 1.59E+05 1.08E+05 7.46E+04 4.74E+04 3.12E+04 1.94E+04 1.22E+04 7.80E+03 4.61E+03 2.79E+03 1.48E+03 8.72E+02 5.20E+02 2.89E+02 1.75E+02 8.07E+01 4.52E+01 1.55E+01 2.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.697  7.09E+06 1.11E+07 1.49E+08 3.75E+05 7.43E+05 1.03E+06 1.20E+06 1.30E+06 1.24E+06 1.14E+06 9.73E+05 8.33E+05 6.50E+05 4.87E+05 3.75E+05 2.58E+05 1.82E+05 1.17E+05 7.83E+04 4.98E+04 3.22E+04 2.11E+04 1.27E+04 7.97E+03 4.41E+03 2.73E+03 1.60E+03 9.32E+02 5.99E+02 2.96E+02 1.62E+02 5.95E+01 1.40E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.719  1.61E+07 2.50E+07 3.41E+08 8.26E+05 1.64E+06 2.28E+06 2.66E+06 2.87E+06 2.77E+06 2.55E+06 2.20E+06 1.88E+06 1.48E+06 1.12E+06 8.72E+05 6.07E+05 4.34E+05 2.84E+05 1.94E+05 1.25E+05 8.25E+04 5.52E+04 3.43E+04 2.21E+04 1.24E+04 7.89E+03 4.71E+03 2.89E+03 1.90E+03 9.76E+02 5.30E+02 2.06E+02 5.24E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.740  3.63E+07 5.58E+07 7.70E+08 1.80E+06 3.57E+06 4.99E+06 5.83E+06 6.32E+06 6.11E+06 5.65E+06 4.90E+06 4.22E+06 3.36E+06 2.55E+06 2.00E+06 1.41E+06 1.02E+06 6.79E+05 4.69E+05 3.08E+05 2.07E+05 1.41E+05 8.98E+04 5.89E+04 3.39E+04 2.20E+04 1.36E+04 8.55E+03 5.71E+03 2.99E+03 1.64E+03 7.16E+02 1.98E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.760  8.11E+07 1.23E+08 1.72E+09 3.91E+06 7.75E+06 1.08E+07 1.27E+07 1.38E+07 1.34E+07 1.24E+07 1.08E+07 9.37E+06 7.50E+06 5.75E+06 4.55E+06 3.24E+06 2.37E+06 1.60E+06 1.12E+06 7.47E+05 5.10E+05 3.53E+05 2.29E+05 1.52E+05 8.99E+04 5.96E+04 3.74E+04 2.41E+04 1.63E+04 8.84E+03 4.94E+03 2.28E+03 6.89E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.780  1.79E+08 2.70E+08 3.82E+09 8.40E+06 1.67E+07 2.33E+07 2.74E+07 2.98E+07 2.90E+07 2.70E+07 2.36E+07 2.06E+07 1.66E+07 1.28E+07 1.02E+07 7.36E+06 5.43E+06 3.70E+06 2.63E+06 1.78E+06 1.23E+06 8.65E+05 5.71E+05 3.86E+05 2.32E+05 1.57E+05 1.00E+05 6.58E+04 4.55E+04 2.52E+04 1.43E+04 6.82E+03 2.13E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.818  9.48E+08 1.27E+09 1.83E+10 3.81E+07 7.55E+07 1.06E+08 1.25E+08 1.36E+08 1.33E+08 1.25E+08 1.11E+08 9.72E+07 7.92E+07 6.20E+07 5.01E+07 3.67E+07 2.76E+07 1.92E+07 1.39E+07 9.67E+06 6.86E+06 4.94E+06 3.35E+06 2.33E+06 1.45E+06 1.01E+06 6.66E+05 4.52E+05 3.23E+05 1.86E+05 1.08E+05 5.50E+04 1.87E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.854  4.47E+09 5.78E+09 8.55E+10 1.68E+08 3.34E+08 4.69E+08 5.53E+08 6.08E+08 5.98E+08 5.65E+08 5.02E+08 4.45E+08 3.66E+08 2.90E+08 2.37E+08 1.76E+08 1.35E+08 9.54E+07 7.05E+07 4.99E+07 3.62E+07 2.66E+07 1.85E+07 1.32E+07 8.43E+06 6.01E+06 4.07E+06 2.84E+06 2.08E+06 1.24E+06 7.38E+05 3.91E+05 1.41E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.889  2.02E+10 2.57E+10 3.88E+11 7.25E+08 1.44E+09 2.03E+09 2.40E+09 2.64E+09 2.61E+09 2.48E+09 2.22E+09 1.98E+09 1.65E+09 1.32E+09 1.09E+09 8.19E+08 6.34E+08 4.56E+08 3.42E+08 2.47E+08 1.82E+08 1.36E+08 9.67E+07 7.03E+07 4.61E+07 3.35E+07 2.33E+07 1.66E+07 1.25E+07 7.58E+06 4.62E+06 2.53E+06 9.52E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
