                    *********************************************************************************
                    *  Z= 57 A=139: Positive-Parity Spin-dependent Level Density [MeV-1] for LA139  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   5.50  0.660  6.95E+03 1.04E+04 1.38E+05 3.92E+02 6.91E+02 8.81E+02 1.09E+03 1.15E+03 1.18E+03 1.14E+03 9.95E+02 7.96E+02 5.76E+02 4.08E+02 3.24E+02 2.91E+02 2.19E+02 1.37E+02 6.21E+01 2.00E+01 5.71E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.689  1.54E+04 2.34E+04 3.27E+05 8.24E+02 1.45E+03 1.84E+03 2.25E+03 2.48E+03 2.54E+03 2.41E+03 2.15E+03 1.91E+03 1.60E+03 1.26E+03 9.37E+02 7.00E+02 4.96E+02 3.09E+02 1.69E+02 6.57E+01 2.79E+01 7.14E+00 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.717  3.37E+04 4.97E+04 6.92E+05 1.53E+03 2.92E+03 3.97E+03 4.81E+03 5.30E+03 5.48E+03 5.25E+03 4.74E+03 4.07E+03 3.31E+03 2.66E+03 2.09E+03 1.56E+03 1.01E+03 5.56E+02 2.51E+02 1.01E+02 4.00E+01 1.07E+01 2.86E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.744  6.92E+04 9.24E+04 1.32E+06 2.81E+03 5.13E+03 7.24E+03 8.95E+03 9.71E+03 9.82E+03 9.45E+03 8.68E+03 7.73E+03 6.49E+03 5.15E+03 3.92E+03 2.80E+03 1.85E+03 1.12E+03 6.56E+02 3.86E+02 2.47E+02 1.49E+02 7.86E+01 3.07E+01 1.43E+01 5.00E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.770  1.41E+05 1.96E+05 2.92E+06 5.47E+03 1.04E+04 1.46E+04 1.76E+04 1.94E+04 2.00E+04 1.97E+04 1.83E+04 1.63E+04 1.40E+04 1.16E+04 9.01E+03 6.56E+03 4.58E+03 3.12E+03 2.18E+03 1.53E+03 9.76E+02 5.49E+02 2.72E+02 1.09E+02 3.93E+01 9.29E+00 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.796  3.11E+05 4.84E+05 7.68E+06 1.19E+04 2.25E+04 3.19E+04 3.93E+04 4.39E+04 4.61E+04 4.61E+04 4.40E+04 4.04E+04 3.53E+04 2.99E+04 2.47E+04 1.96E+04 1.49E+04 1.11E+04 8.09E+03 5.69E+03 3.82E+03 2.33E+03 1.28E+03 6.19E+02 2.56E+02 8.43E+01 2.14E+01 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.820  6.73E+05 9.65E+05 1.54E+07 2.34E+04 4.42E+04 6.25E+04 7.71E+04 8.68E+04 9.13E+04 9.16E+04 8.76E+04 8.10E+04 7.21E+04 6.16E+04 5.03E+04 3.96E+04 3.04E+04 2.29E+04 1.65E+04 1.12E+04 6.96E+03 3.93E+03 2.02E+03 9.59E+02 4.00E+02 1.46E+02 4.71E+01 1.64E+01 4.29E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.844  1.39E+06 1.92E+06 3.11E+07 4.41E+04 8.54E+04 1.21E+05 1.49E+05 1.68E+05 1.79E+05 1.80E+05 1.74E+05 1.61E+05 1.43E+05 1.23E+05 1.03E+05 8.36E+04 6.49E+04 4.85E+04 3.47E+04 2.35E+04 1.50E+04 8.96E+03 5.17E+03 2.88E+03 1.56E+03 8.09E+02 3.99E+02 1.83E+02 8.36E+01 3.43E+01 1.14E+01 5.71E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.867  2.82E+06 3.77E+06 6.23E+07 8.34E+04 1.61E+05 2.29E+05 2.84E+05 3.23E+05 3.43E+05 3.46E+05 3.36E+05 3.14E+05 2.82E+05 2.45E+05 2.06E+05 1.68E+05 1.33E+05 1.01E+05 7.33E+04 5.07E+04 3.38E+04 2.20E+04 1.40E+04 8.70E+03 5.11E+03 2.86E+03 1.50E+03 7.17E+02 3.10E+02 1.18E+02 4.00E+01 1.29E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.890  5.96E+06 8.80E+06 1.54E+08 1.77E+05 3.43E+05 4.90E+05 6.11E+05 6.98E+05 7.51E+05 7.69E+05 7.56E+05 7.17E+05 6.59E+05 5.87E+05 5.08E+05 4.26E+05 3.46E+05 2.73E+05 2.09E+05 1.55E+05 1.12E+05 7.89E+04 5.44E+04 3.62E+04 2.30E+04 1.36E+04 7.47E+03 3.68E+03 1.61E+03 5.90E+02 1.79E+02 4.43E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
