                    *********************************************************************************
                    *  Z= 37 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for RB 86  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   4.75  0.779  2.28E+02 2.50E+02 2.31E+03 3.25E+01 2.31E+01 2.44E+01 3.01E+01 2.46E+01 3.18E+01 2.79E+01 2.66E+01 1.50E+01 8.68E+00 3.26E+00 1.67E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.800  2.97E+02 3.03E+02 2.90E+03 3.42E+01 2.73E+01 2.70E+01 3.65E+01 3.33E+01 3.47E+01 3.72E+01 3.30E+01 2.07E+01 1.04E+01 6.12E+00 1.67E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.839  4.96E+02 4.93E+02 4.90E+03 4.69E+01 4.25E+01 5.01E+01 5.99E+01 5.90E+01 5.21E+01 5.37E+01 4.90E+01 3.00E+01 2.61E+01 1.47E+01 5.96E+00 1.82E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.876  8.08E+02 7.57E+02 7.81E+03 5.86E+01 6.18E+01 7.58E+01 9.11E+01 9.29E+01 8.93E+01 7.65E+01 7.63E+01 5.14E+01 4.04E+01 2.79E+01 9.29E+00 4.68E+00 1.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.912  1.28E+03 1.13E+03 1.26E+04 5.48E+01 9.10E+01 9.61E+01 1.36E+02 1.43E+02 1.19E+02 1.31E+02 1.09E+02 8.93E+01 6.93E+01 4.79E+01 2.50E+01 1.54E+01 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.946  2.01E+03 1.80E+03 2.14E+04 7.49E+01 1.01E+02 1.58E+02 1.90E+02 2.02E+02 2.16E+02 2.09E+02 1.90E+02 1.54E+02 1.14E+02 9.14E+01 5.36E+01 3.57E+01 1.14E+01 1.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.979  3.22E+03 3.02E+03 3.78E+04 1.07E+02 1.61E+02 2.15E+02 2.73E+02 3.63E+02 3.48E+02 3.59E+02 3.19E+02 2.73E+02 2.19E+02 1.63E+02 1.14E+02 6.79E+01 2.86E+01 9.29E+00 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  1.012  5.32E+03 5.39E+03 6.88E+04 1.69E+02 2.69E+02 3.89E+02 4.89E+02 5.89E+02 6.32E+02 6.29E+02 5.66E+02 5.09E+02 4.14E+02 3.04E+02 2.06E+02 1.24E+02 6.43E+01 2.64E+01 9.29E+00 1.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  1.043  9.05E+03 9.54E+03 1.23E+05 2.54E+02 4.66E+02 6.94E+02 9.15E+02 1.04E+03 1.11E+03 1.08E+03 1.02E+03 8.98E+02 7.11E+02 5.38E+02 3.58E+02 2.24E+02 1.36E+02 6.29E+01 2.71E+01 7.14E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  1.073  1.55E+04 1.63E+04 2.12E+05 3.27E+02 8.35E+02 1.24E+03 1.56E+03 1.78E+03 1.91E+03 1.86E+03 1.72E+03 1.53E+03 1.19E+03 8.83E+02 6.20E+02 4.18E+02 2.46E+02 1.36E+02 6.43E+01 2.29E+01 6.83E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
