                    *********************************************************************************
                    *  Z= 35 A= 80: Positive-Parity Spin-dependent Level Density [MeV-1] for BR 80  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   5.00  0.829  4.96E+03 6.69E+03 6.70E+04 4.47E+02 4.14E+02 9.98E+02 8.59E+02 9.68E+02 7.84E+02 7.00E+02 5.08E+02 3.85E+02 2.35E+02 1.56E+02 1.06E+02 5.46E+01 3.74E+01 1.97E+01 1.17E+01 3.85E+00 1.21E+00 0.00E+00 0.00E+00 6.05E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.870  9.96E+03 1.33E+04 1.37E+05 7.77E+02 7.89E+02 1.91E+03 1.68E+03 1.94E+03 1.56E+03 1.40E+03 1.03E+03 7.92E+02 5.15E+02 3.40E+02 2.26E+02 1.35E+02 8.01E+01 5.11E+01 2.91E+01 1.79E+01 7.22E+00 4.23E+00 1.21E+00 8.09E-01 6.05E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.908  1.97E+04 2.57E+04 2.73E+05 1.40E+03 1.44E+03 3.52E+03 3.17E+03 3.73E+03 3.01E+03 2.78E+03 2.03E+03 1.55E+03 1.06E+03 7.26E+02 4.66E+02 3.00E+02 1.83E+02 1.18E+02 7.15E+01 4.59E+01 2.90E+01 1.31E+01 6.65E+00 2.54E+00 1.21E+00 6.05E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.945  3.82E+04 4.85E+04 5.28E+05 2.46E+03 2.64E+03 6.46E+03 5.81E+03 6.92E+03 5.63E+03 5.33E+03 3.92E+03 3.06E+03 2.10E+03 1.47E+03 9.73E+02 6.32E+02 3.93E+02 2.68E+02 1.63E+02 1.03E+02 6.77E+01 3.00E+01 2.28E+01 9.19E+00 4.84E+00 1.21E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.981  7.31E+04 9.12E+04 1.01E+06 4.43E+03 4.77E+03 1.19E+04 1.07E+04 1.28E+04 1.05E+04 1.00E+04 7.46E+03 5.93E+03 4.13E+03 2.90E+03 1.97E+03 1.33E+03 8.46E+02 5.74E+02 3.70E+02 2.06E+02 1.28E+02 7.96E+01 5.06E+01 2.53E+01 1.09E+01 6.65E+00 2.42E+00 0.00E+00 0.00E+00 6.05E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  1.016  1.39E+05 1.72E+05 1.94E+06 8.08E+03 8.96E+03 2.21E+04 2.00E+04 2.37E+04 1.96E+04 1.88E+04 1.41E+04 1.14E+04 8.06E+03 5.68E+03 3.93E+03 2.69E+03 1.75E+03 1.20E+03 7.40E+02 4.11E+02 2.60E+02 1.69E+02 1.13E+02 6.41E+01 3.33E+01 2.36E+01 1.09E+01 6.02E+00 1.21E+00 6.05E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  1.049  2.62E+05 3.21E+05 3.66E+06 1.47E+04 1.64E+04 4.07E+04 3.70E+04 4.39E+04 3.64E+04 3.50E+04 2.63E+04 2.14E+04 1.54E+04 1.11E+04 7.65E+03 5.40E+03 3.54E+03 2.44E+03 1.40E+03 8.07E+02 5.45E+02 3.64E+02 2.29E+02 1.52E+02 8.95E+01 5.75E+01 3.45E+01 1.75E+01 7.67E+00 3.63E+00 1.21E+00 6.05E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  1.081  4.90E+05 5.93E+05 6.85E+06 2.63E+04 2.96E+04 7.39E+04 6.72E+04 8.04E+04 6.72E+04 6.48E+04 4.88E+04 4.00E+04 2.90E+04 2.11E+04 1.48E+04 1.04E+04 7.01E+03 4.53E+03 2.56E+03 1.64E+03 1.10E+03 7.45E+02 5.07E+02 3.21E+02 2.10E+02 1.32E+02 8.35E+01 5.20E+01 2.95E+01 1.15E+01 6.59E+00 2.42E+00 6.05E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  1.112  9.10E+05 1.08E+06 1.27E+07 4.73E+04 5.29E+04 1.33E+05 1.21E+05 1.46E+05 1.22E+05 1.19E+05 9.01E+04 7.41E+04 5.41E+04 3.98E+04 2.83E+04 2.03E+04 1.37E+04 8.17E+03 4.83E+03 3.17E+03 2.22E+03 1.51E+03 1.04E+03 6.95E+02 4.49E+02 2.99E+02 1.86E+02 1.17E+02 6.47E+01 3.87E+01 2.11E+01 1.06E+01 4.23E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  1.143  1.67E+06 1.97E+06 2.32E+07 8.50E+04 9.50E+04 2.39E+05 2.18E+05 2.63E+05 2.21E+05 2.17E+05 1.65E+05 1.37E+05 1.01E+05 7.46E+04 5.34E+04 3.86E+04 2.38E+04 1.40E+04 9.00E+03 6.24E+03 4.34E+03 3.05E+03 2.10E+03 1.40E+03 9.53E+02 6.21E+02 3.95E+02 2.58E+02 1.62E+02 9.07E+01 6.28E+01 3.06E+01 2.24E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
