                    *********************************************************************************
                    *  Z= 44 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for RU100  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   4.75  0.723  2.55E+02 3.27E+02 2.00E+03 5.19E+01 4.84E+01 8.27E+01 4.66E+01 4.86E+01 2.04E+01 1.65E+01 7.42E+00 3.74E+00 5.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.742  3.50E+02 4.36E+02 2.72E+03 6.65E+01 6.46E+01 1.05E+02 7.08E+01 5.97E+01 3.13E+01 2.05E+01 9.32E+00 6.85E+00 1.40E+00 5.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.778  6.68E+02 8.34E+02 5.43E+03 1.13E+02 1.03E+02 2.08E+02 1.45E+02 1.18E+02 6.86E+01 3.94E+01 1.91E+01 1.16E+01 2.92E+00 3.00E+00 6.27E-02 5.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.812  1.26E+03 1.55E+03 1.05E+04 1.89E+02 1.80E+02 3.78E+02 2.71E+02 2.40E+02 1.19E+02 9.00E+01 4.17E+01 2.68E+01 9.25E+00 4.77E+00 6.62E-01 5.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.846  2.40E+03 2.99E+03 2.07E+04 3.50E+02 3.60E+02 6.90E+02 5.17E+02 4.75E+02 2.50E+02 1.75E+02 8.27E+01 5.02E+01 1.92E+01 1.38E+01 4.75E+00 1.96E+00 5.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.877  4.58E+03 5.74E+03 4.08E+04 6.31E+02 6.90E+02 1.28E+03 9.74E+02 8.89E+02 5.36E+02 3.57E+02 1.81E+02 1.07E+02 4.57E+01 2.61E+01 7.14E+00 6.75E+00 8.61E-01 1.20E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.908  8.81E+03 1.12E+04 8.14E+04 1.17E+03 1.29E+03 2.47E+03 1.90E+03 1.74E+03 1.08E+03 7.44E+02 3.69E+02 2.23E+02 1.01E+02 6.28E+01 2.02E+01 1.36E+01 4.46E+00 1.20E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.938  1.70E+04 2.17E+04 1.62E+05 2.09E+03 2.44E+03 4.79E+03 3.62E+03 3.42E+03 2.12E+03 1.55E+03 7.99E+02 4.75E+02 2.40E+02 1.24E+02 3.62E+01 3.32E+01 8.45E+00 5.39E+00 1.80E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.967  3.30E+04 4.21E+04 3.21E+05 3.86E+03 4.67E+03 9.00E+03 7.09E+03 6.59E+03 4.17E+03 3.03E+03 1.70E+03 9.91E+02 5.40E+02 2.63E+02 1.13E+02 6.50E+01 1.78E+01 1.38E+01 3.28E+00 3.60E+00 7.20E-02 5.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.995  6.37E+04 8.08E+04 6.27E+05 7.24E+03 8.63E+03 1.68E+04 1.34E+04 1.27E+04 8.28E+03 5.92E+03 3.48E+03 2.10E+03 1.12E+03 5.63E+02 2.39E+02 1.58E+02 5.49E+01 3.06E+01 1.23E+01 4.79E+00 6.71E-01 5.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
