                    *********************************************************************************
                    *  Z= 88 A=227: Positive-Parity Spin-dependent Level Density [MeV-1] for RA227  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   4.75  0.480  4.48E+05 1.01E+06 1.33E+07 3.26E+04 6.42E+04 9.34E+04 1.07E+05 1.23E+05 1.18E+05 1.10E+05 9.68E+04 7.99E+04 6.02E+04 4.44E+04 3.20E+04 2.11E+04 1.30E+04 7.59E+03 4.32E+03 2.19E+03 1.11E+03 4.99E+02 2.34E+02 9.63E+01 3.55E+01 1.32E+01 3.55E+00 1.52E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.492  7.71E+05 1.58E+06 2.08E+07 5.06E+04 9.98E+04 1.45E+05 1.67E+05 1.92E+05 1.82E+05 1.69E+05 1.48E+05 1.26E+05 9.47E+04 6.97E+04 5.15E+04 3.38E+04 2.11E+04 1.25E+04 7.21E+03 3.69E+03 1.88E+03 8.63E+02 3.88E+02 1.71E+02 6.05E+01 2.53E+01 8.62E+00 2.03E+00 1.01E+00 5.07E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.516  2.31E+06 4.60E+06 6.19E+07 1.42E+05 2.80E+05 4.08E+05 4.71E+05 5.47E+05 5.22E+05 4.88E+05 4.34E+05 3.73E+05 2.86E+05 2.14E+05 1.61E+05 1.08E+05 6.90E+04 4.19E+04 2.47E+04 1.32E+04 6.98E+03 3.27E+03 1.49E+03 6.36E+02 2.65E+02 1.04E+02 3.64E+01 1.27E+01 2.03E+00 1.52E+00 5.07E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.539  6.76E+06 1.32E+07 1.81E+08 3.94E+05 7.75E+05 1.13E+06 1.31E+06 1.53E+06 1.47E+06 1.39E+06 1.25E+06 1.09E+06 8.42E+05 6.42E+05 4.91E+05 3.38E+05 2.20E+05 1.37E+05 8.28E+04 4.53E+04 2.47E+04 1.20E+04 5.66E+03 2.51E+03 9.83E+02 4.05E+02 1.52E+02 5.16E+01 1.42E+01 3.55E+00 1.52E+00 5.07E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.561  1.94E+07 3.72E+07 5.20E+08 1.08E+06 2.12E+06 3.10E+06 3.61E+06 4.23E+06 4.09E+06 3.88E+06 3.52E+06 3.10E+06 2.43E+06 1.88E+06 1.46E+06 1.03E+06 6.81E+05 4.34E+05 2.70E+05 1.52E+05 8.50E+04 4.32E+04 2.11E+04 9.54E+03 3.93E+03 1.61E+03 5.97E+02 2.26E+02 7.09E+01 2.53E+01 7.00E+00 2.23E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.582  5.46E+07 1.04E+08 1.47E+09 2.90E+06 5.73E+06 8.39E+06 9.81E+06 1.15E+07 1.12E+07 1.07E+07 9.79E+06 8.69E+06 6.90E+06 5.41E+06 4.26E+06 3.04E+06 2.06E+06 1.34E+06 8.54E+05 4.95E+05 2.85E+05 1.50E+05 7.59E+04 3.55E+04 1.52E+04 6.43E+03 2.44E+03 9.14E+02 3.31E+02 1.02E+02 3.48E+01 9.15E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.603  1.51E+08 2.84E+08 4.10E+09 7.74E+06 1.53E+07 2.24E+07 2.61E+07 3.06E+07 3.01E+07 2.91E+07 2.68E+07 2.39E+07 1.92E+07 1.53E+07 1.22E+07 8.84E+06 6.06E+06 4.02E+06 2.63E+06 1.56E+06 9.26E+05 5.06E+05 2.64E+05 1.29E+05 5.80E+04 2.55E+04 1.01E+04 3.90E+03 1.40E+03 4.68E+02 1.68E+02 4.83E+01 1.17E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.623  4.15E+08 7.71E+08 1.13E+10 2.04E+07 4.04E+07 5.94E+07 6.92E+07 8.14E+07 8.05E+07 7.87E+07 7.25E+07 6.51E+07 5.28E+07 4.24E+07 3.41E+07 2.52E+07 1.75E+07 1.19E+07 7.91E+06 4.82E+06 2.92E+06 1.65E+06 8.93E+05 4.52E+05 2.14E+05 9.76E+04 4.05E+04 1.66E+04 6.31E+03 2.10E+03 7.91E+02 2.55E+02 5.83E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.642  1.12E+09 2.07E+09 3.07E+10 5.34E+07 1.06E+08 1.55E+08 1.82E+08 2.14E+08 2.13E+08 2.09E+08 1.94E+08 1.75E+08 1.43E+08 1.17E+08 9.44E+07 7.05E+07 4.98E+07 3.43E+07 2.33E+07 1.45E+07 9.03E+06 5.24E+06 2.93E+06 1.54E+06 7.66E+05 3.64E+05 1.60E+05 6.92E+04 2.79E+04 9.83E+03 3.86E+03 1.30E+03 2.96E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.660  3.01E+09 5.49E+09 8.27E+10 1.38E+08 2.74E+08 4.03E+08 4.72E+08 5.58E+08 5.56E+08 5.49E+08 5.11E+08 4.66E+08 3.83E+08 3.15E+08 2.57E+08 1.95E+08 1.39E+08 9.70E+07 6.70E+07 4.28E+07 2.72E+07 1.62E+07 9.34E+06 5.10E+06 2.64E+06 1.31E+06 6.05E+05 2.77E+05 1.19E+05 4.45E+04 1.84E+04 6.60E+03 1.51E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.678  7.99E+09 1.44E+10 2.20E+11 3.55E+08 7.02E+08 1.03E+09 1.22E+09 1.44E+09 1.44E+09 1.43E+09 1.33E+09 1.22E+09 1.01E+09 8.40E+08 6.92E+08 5.29E+08 3.83E+08 2.71E+08 1.90E+08 1.23E+08 8.00E+07 4.90E+07 2.90E+07 1.63E+07 8.82E+06 4.53E+06 2.21E+06 1.06E+06 4.84E+05 1.92E+05 8.36E+04 3.18E+04 7.50E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.696  2.10E+10 3.75E+10 5.80E+11 9.02E+08 1.79E+09 2.63E+09 3.10E+09 3.68E+09 3.69E+09 3.67E+09 3.45E+09 3.18E+09 2.65E+09 2.21E+09 1.84E+09 1.42E+09 1.04E+09 7.43E+08 5.30E+08 3.50E+08 2.31E+08 1.45E+08 8.78E+07 5.10E+07 2.85E+07 1.51E+07 7.72E+06 3.91E+06 1.87E+06 7.85E+05 3.60E+05 1.45E+05 3.61E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.730  1.63E+11 2.46E+11 3.91E+12 5.69E+09 1.13E+10 1.67E+10 1.97E+10 2.34E+10 2.37E+10 2.37E+10 2.24E+10 2.09E+10 1.76E+10 1.49E+10 1.25E+10 9.85E+09 7.33E+09 5.37E+09 3.93E+09 2.67E+09 1.82E+09 1.19E+09 7.54E+08 4.61E+08 2.73E+08 1.54E+08 8.50E+07 4.66E+07 2.44E+07 1.13E+07 5.69E+06 2.54E+06 7.05E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
