                    *********************************************************************************
                    *  Z= 60 A=144: Positive-Parity Spin-dependent Level Density [MeV-1] for ND144  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   4.75  0.602  1.74E+03 3.00E+03 3.23E+04 4.93E+02 2.17E+02 2.06E+02 2.40E+02 3.10E+02 2.66E+02 2.53E+02 2.71E+02 2.26E+02 1.77E+02 1.45E+02 7.50E+01 6.08E+01 3.31E+01 2.16E+01 6.78E+00 1.88E+00 1.02E+00 6.27E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.618  2.66E+03 4.36E+03 4.78E+04 7.08E+02 2.70E+02 3.02E+02 3.42E+02 4.44E+02 3.84E+02 3.86E+02 3.94E+02 3.26E+02 2.67E+02 2.09E+02 1.21E+02 8.96E+01 5.44E+01 3.29E+01 1.62E+01 6.27E+00 1.65E+00 6.27E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.648  6.35E+03 1.04E+04 1.20E+05 1.55E+03 6.20E+02 6.16E+02 8.20E+02 1.02E+03 9.33E+02 9.66E+02 9.36E+02 8.01E+02 6.44E+02 5.01E+02 3.42E+02 2.69E+02 1.69E+02 1.09E+02 4.88E+01 2.82E+01 1.25E+01 6.27E+00 1.25E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.677  1.52E+04 2.48E+04 3.01E+05 3.39E+03 1.48E+03 1.35E+03 1.95E+03 2.26E+03 2.26E+03 2.27E+03 2.18E+03 1.92E+03 1.60E+03 1.29E+03 9.42E+02 7.03E+02 4.90E+02 3.25E+02 1.94E+02 1.15E+02 4.66E+01 2.80E+01 1.24E+01 3.13E+00 6.27E-01 6.27E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.705  3.63E+04 5.98E+04 7.50E+05 8.01E+03 3.47E+03 3.23E+03 4.43E+03 5.13E+03 5.27E+03 5.39E+03 5.11E+03 4.60E+03 3.89E+03 3.26E+03 2.53E+03 1.90E+03 1.38E+03 9.62E+02 5.80E+02 3.52E+02 1.65E+02 1.06E+02 5.00E+01 2.42E+01 7.23E+00 1.88E+00 1.72E+00 6.27E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.731  8.71E+04 1.43E+05 1.85E+06 1.90E+04 7.93E+03 7.71E+03 9.92E+03 1.17E+04 1.23E+04 1.24E+04 1.19E+04 1.10E+04 9.52E+03 8.09E+03 6.46E+03 5.02E+03 3.69E+03 2.56E+03 1.67E+03 1.10E+03 6.04E+02 3.53E+02 1.60E+02 8.06E+01 3.79E+01 1.69E+01 5.48E+00 2.51E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.757  2.07E+05 3.38E+05 4.49E+06 4.45E+04 1.80E+04 1.79E+04 2.23E+04 2.64E+04 2.79E+04 2.85E+04 2.77E+04 2.56E+04 2.28E+04 1.95E+04 1.61E+04 1.26E+04 9.54E+03 6.79E+03 4.66E+03 3.05E+03 1.81E+03 1.09E+03 6.20E+02 3.37E+02 1.56E+02 6.96E+01 1.93E+01 1.13E+01 3.76E+00 1.25E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.782  4.89E+05 7.90E+05 1.08E+07 1.04E+05 4.07E+04 4.09E+04 4.95E+04 5.92E+04 6.29E+04 6.51E+04 6.35E+04 5.97E+04 5.34E+04 4.68E+04 3.87E+04 3.13E+04 2.38E+04 1.76E+04 1.24E+04 8.49E+03 5.43E+03 3.41E+03 1.96E+03 1.12E+03 5.53E+02 2.90E+02 1.27E+02 5.58E+01 2.40E+01 9.85E+00 1.06E+01 1.25E+00 6.27E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.806  1.15E+06 1.84E+06 2.57E+07 2.39E+05 9.28E+04 9.10E+04 1.10E+05 1.31E+05 1.42E+05 1.47E+05 1.45E+05 1.37E+05 1.25E+05 1.10E+05 9.25E+04 7.54E+04 5.91E+04 4.47E+04 3.26E+04 2.29E+04 1.53E+04 9.84E+03 6.05E+03 3.55E+03 1.99E+03 1.05E+03 4.73E+02 2.27E+02 9.42E+01 5.25E+01 2.56E+01 5.64E+00 1.25E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.829  2.67E+06 4.24E+06 6.09E+07 5.49E+05 2.10E+05 2.02E+05 2.45E+05 2.91E+05 3.18E+05 3.32E+05 3.30E+05 3.15E+05 2.88E+05 2.56E+05 2.18E+05 1.81E+05 1.44E+05 1.12E+05 8.32E+04 6.03E+04 4.16E+04 2.77E+04 1.75E+04 1.07E+04 6.12E+03 3.46E+03 1.77E+03 9.30E+02 4.32E+02 1.90E+02 8.14E+01 3.01E+01 1.75E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.852  6.17E+06 9.76E+06 1.43E+08 1.26E+06 4.73E+05 4.48E+05 5.41E+05 6.44E+05 7.10E+05 7.43E+05 7.44E+05 7.14E+05 6.61E+05 5.92E+05 5.12E+05 4.30E+05 3.49E+05 2.75E+05 2.09E+05 1.54E+05 1.09E+05 7.48E+04 4.89E+04 3.08E+04 1.86E+04 1.09E+04 5.95E+03 3.18E+03 1.55E+03 7.88E+02 3.53E+02 1.73E+02 8.46E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.874  1.42E+07 2.23E+07 3.34E+08 2.85E+06 1.06E+06 9.88E+05 1.19E+06 1.42E+06 1.57E+06 1.65E+06 1.66E+06 1.61E+06 1.50E+06 1.36E+06 1.19E+06 1.01E+06 8.31E+05 6.63E+05 5.14E+05 3.86E+05 2.79E+05 1.96E+05 1.32E+05 8.58E+04 5.36E+04 3.24E+04 1.88E+04 1.06E+04 5.67E+03 2.88E+03 1.37E+03 6.40E+02 4.56E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.917  8.20E+07 1.13E+08 1.78E+09 1.45E+07 5.29E+06 4.37E+06 5.66E+06 6.78E+06 7.57E+06 8.02E+06 8.16E+06 7.99E+06 7.57E+06 6.95E+06 6.20E+06 5.37E+06 4.53E+06 3.71E+06 2.96E+06 2.29E+06 1.72E+06 1.26E+06 8.94E+05 6.14E+05 4.08E+05 2.62E+05 1.63E+05 9.75E+04 5.64E+04 3.14E+04 1.68E+04 8.70E+03 7.86E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.957  4.23E+08 5.68E+08 9.25E+09 7.22E+07 2.58E+07 1.99E+07 2.65E+07 3.19E+07 3.58E+07 3.83E+07 3.93E+07 3.89E+07 3.73E+07 3.47E+07 3.15E+07 2.77E+07 2.38E+07 2.00E+07 1.63E+07 1.30E+07 1.01E+07 7.61E+06 5.60E+06 4.00E+06 2.78E+06 1.88E+06 1.23E+06 7.79E+05 4.78E+05 2.85E+05 1.64E+05 9.23E+04 9.81E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.997  2.10E+09 2.79E+09 4.70E+10 3.53E+08 1.24E+08 9.14E+07 1.22E+08 1.48E+08 1.67E+08 1.79E+08 1.86E+08 1.85E+08 1.80E+08 1.69E+08 1.55E+08 1.39E+08 1.21E+08 1.04E+08 8.63E+07 7.02E+07 5.58E+07 4.33E+07 3.28E+07 2.42E+07 1.75E+07 1.23E+07 8.36E+06 5.56E+06 3.60E+06 2.26E+06 1.39E+06 8.32E+05 9.94E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.034  1.01E+10 1.32E+10 2.33E+11 1.69E+09 3.56E+08 4.13E+08 5.54E+08 6.72E+08 7.64E+08 8.27E+08 8.60E+08 8.66E+08 8.47E+08 8.06E+08 7.48E+08 6.79E+08 6.01E+08 5.21E+08 4.42E+08 3.66E+08 2.97E+08 2.36E+08 1.83E+08 1.39E+08 1.03E+08 7.48E+07 5.29E+07 3.66E+07 2.46E+07 1.62E+07 1.05E+07 6.63E+06 8.71E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
