                    *********************************************************************************
                    *  Z= 21 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for SC 46  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   4.75  1.066  5.43E+02 4.71E+02 5.26E+03 3.86E+01 2.55E+01 5.58E+01 4.56E+01 5.66E+01 4.75E+01 5.06E+01 4.71E+01 3.40E+01 2.09E+01 1.67E+01 1.03E+01 9.77E+00 5.90E+00 3.21E+00 2.02E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  1.093  6.76E+02 5.98E+02 6.57E+03 4.67E+01 3.70E+01 7.58E+01 5.63E+01 7.46E+01 6.00E+01 5.95E+01 5.76E+01 4.50E+01 2.68E+01 2.14E+01 1.33E+01 1.13E+01 5.83E+00 4.41E+00 1.50E+00 8.10E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  1.147  1.08E+03 1.03E+03 1.13E+04 6.65E+01 5.81E+01 1.31E+02 1.14E+02 1.35E+02 1.09E+02 1.01E+02 8.62E+01 7.46E+01 5.19E+01 4.00E+01 2.48E+01 1.78E+01 9.83E+00 4.98E+00 1.77E+00 8.10E-01 9.55E-02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  1.198  1.72E+03 1.53E+03 1.75E+04 8.00E+01 6.92E+01 1.81E+02 1.64E+02 2.14E+02 1.83E+02 1.65E+02 1.25E+02 1.01E+02 8.64E+01 6.21E+01 3.59E+01 2.21E+01 1.77E+01 7.61E+00 4.58E+00 3.06E+00 1.41E+00 1.30E+00 7.50E-01 6.40E-01 6.74E-01 6.19E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  1.247  2.64E+03 2.16E+03 2.60E+04 9.52E+01 9.80E+01 2.24E+02 2.09E+02 2.87E+02 2.62E+02 2.57E+02 1.89E+02 1.48E+02 1.20E+02 9.32E+01 6.12E+01 3.79E+01 2.64E+01 1.72E+01 8.65E+00 6.35E+00 4.21E+00 5.01E+00 3.40E+00 2.18E+00 1.29E+00 6.19E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  1.294  3.94E+03 3.03E+03 3.85E+04 1.29E+02 1.28E+02 2.91E+02 2.56E+02 3.78E+02 3.37E+02 3.67E+02 2.79E+02 2.42E+02 1.73E+02 1.37E+02 1.07E+02 5.97E+01 5.23E+01 3.14E+01 2.56E+01 9.39E+00 8.44E+00 8.87E+00 4.64E+00 2.78E+00 1.29E+00 6.19E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  1.339  5.89E+03 4.77E+03 6.13E+04 2.22E+02 2.11E+02 4.73E+02 4.02E+02 5.69E+02 4.81E+02 5.14E+02 4.46E+02 4.01E+02 2.93E+02 2.27E+02 1.75E+02 1.18E+02 8.86E+01 6.04E+01 3.57E+01 1.70E+01 1.62E+01 1.22E+01 7.14E+00 4.01E+00 1.30E+00 6.19E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  1.383  8.98E+03 7.57E+03 9.69E+04 3.24E+02 3.16E+02 7.83E+02 6.94E+02 9.41E+02 7.62E+02 7.71E+02 6.70E+02 6.19E+02 4.79E+02 3.71E+02 2.75E+02 1.94E+02 1.35E+02 9.74E+01 4.95E+01 2.63E+01 2.26E+01 1.49E+01 1.20E+01 5.44E+00 3.16E+00 1.50E+00 1.33E+00 6.52E-01 6.47E-01 6.28E-01 6.19E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  1.426  1.37E+04 1.13E+04 1.46E+05 4.45E+02 4.32E+02 1.09E+03 1.03E+03 1.45E+03 1.19E+03 1.18E+03 9.87E+02 9.02E+02 7.24E+02 5.72E+02 4.08E+02 2.96E+02 2.03E+02 1.36E+02 7.00E+01 4.62E+01 3.02E+01 2.87E+01 1.50E+01 1.35E+01 6.49E+00 6.45E+00 2.13E+00 3.13E+00 1.33E+00 1.87E+00 6.35E-01 6.19E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  1.467  2.04E+04 1.56E+04 2.08E+05 5.14E+02 5.68E+02 1.41E+03 1.34E+03 1.95E+03 1.68E+03 1.77E+03 1.43E+03 1.27E+03 9.87E+02 8.45E+02 5.88E+02 4.38E+02 2.91E+02 1.82E+02 9.94E+01 7.05E+01 5.39E+01 3.71E+01 3.79E+01 1.78E+01 2.07E+01 8.76E+00 7.08E+00 6.99E+00 5.04E+00 3.34E+00 1.87E+00 6.19E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
