                    *********************************************************************************
                    *  Z= 98 A=250: Positive-Parity Spin-dependent Level Density [MeV-1] for CF250  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   4.75  0.457  1.06E+05 2.50E+05 3.62E+06 6.77E+03 6.62E+03 1.95E+04 1.90E+04 2.76E+04 2.31E+04 2.71E+04 2.33E+04 2.31E+04 1.77E+04 1.58E+04 1.17E+04 9.17E+03 6.38E+03 4.79E+03 3.23E+03 2.24E+03 1.32E+03 8.14E+02 4.57E+02 2.46E+02 1.15E+02 5.33E+01 2.17E+01 9.17E+00 3.61E-01 7.23E-01 3.07E-01 3.61E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.469  1.87E+05 3.99E+05 5.80E+06 1.08E+04 1.05E+04 3.12E+04 3.02E+04 4.43E+04 3.69E+04 4.24E+04 3.65E+04 3.67E+04 2.80E+04 2.51E+04 1.87E+04 1.49E+04 1.03E+04 7.94E+03 5.36E+03 3.77E+03 2.31E+03 1.44E+03 8.67E+02 4.64E+02 2.31E+02 1.17E+02 5.15E+01 1.75E+01 6.26E+00 3.04E+00 1.04E+00 1.61E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.492  5.93E+05 1.23E+06 1.82E+07 3.17E+04 3.11E+04 9.27E+04 9.05E+04 1.32E+05 1.11E+05 1.28E+05 1.11E+05 1.12E+05 8.67E+04 7.80E+04 5.93E+04 4.76E+04 3.39E+04 2.63E+04 1.84E+04 1.34E+04 8.60E+03 5.57E+03 3.53E+03 2.14E+03 1.20E+03 6.71E+02 3.47E+02 1.42E+02 6.01E+01 2.96E+01 1.52E+01 7.41E+00 5.38E+00 1.07E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.514  1.83E+06 3.72E+06 5.65E+07 9.33E+04 9.22E+04 2.75E+05 2.69E+05 3.92E+05 3.31E+05 3.83E+05 3.34E+05 3.39E+05 2.63E+05 2.39E+05 1.84E+05 1.49E+05 1.08E+05 8.49E+04 6.10E+04 4.52E+04 3.00E+04 2.03E+04 1.35E+04 8.52E+03 5.20E+03 3.11E+03 1.78E+03 8.69E+02 4.13E+02 2.19E+02 1.11E+02 5.47E+01 3.31E+01 1.07E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.535  5.55E+06 1.11E+07 1.72E+08 2.71E+05 2.68E+05 8.00E+05 7.85E+05 1.15E+06 9.70E+05 1.13E+06 9.90E+05 1.01E+06 7.89E+05 7.21E+05 5.60E+05 4.56E+05 3.35E+05 2.68E+05 1.96E+05 1.48E+05 1.01E+05 7.03E+04 4.84E+04 3.19E+04 2.04E+04 1.29E+04 7.97E+03 4.30E+03 2.22E+03 1.27E+03 6.68E+02 3.66E+02 2.31E+02 7.60E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.555  1.65E+07 3.29E+07 5.16E+08 7.77E+05 7.72E+05 2.30E+06 2.26E+06 3.31E+06 2.81E+06 3.28E+06 2.89E+06 2.95E+06 2.33E+06 2.14E+06 1.68E+06 1.38E+06 1.03E+06 8.29E+05 6.14E+05 4.72E+05 3.28E+05 2.34E+05 1.66E+05 1.13E+05 7.54E+04 5.00E+04 3.22E+04 1.84E+04 1.03E+04 6.26E+03 3.58E+03 1.94E+03 1.34E+03 3.01E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.574  4.86E+07 9.52E+07 1.52E+09 2.21E+06 2.20E+06 6.55E+06 6.44E+06 9.31E+06 7.97E+06 9.37E+06 8.29E+06 8.50E+06 6.76E+06 6.26E+06 4.94E+06 4.08E+06 3.06E+06 2.50E+06 1.88E+06 1.46E+06 1.03E+06 7.51E+05 5.44E+05 3.80E+05 2.61E+05 1.79E+05 1.20E+05 7.23E+04 4.27E+04 2.74E+04 1.65E+04 9.53E+03 5.36E+03 7.54E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.593  1.41E+08 2.74E+08 4.45E+09 6.21E+06 6.19E+06 1.84E+07 1.82E+07 2.63E+07 2.26E+07 2.68E+07 2.37E+07 2.43E+07 1.94E+07 1.81E+07 1.44E+07 1.19E+07 9.06E+06 7.48E+06 5.69E+06 4.46E+06 3.18E+06 2.36E+06 1.74E+06 1.24E+06 8.74E+05 6.16E+05 4.25E+05 2.66E+05 1.62E+05 1.09E+05 6.82E+04 3.22E+04 1.69E+04 1.62E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.612  4.04E+08 7.80E+08 1.28E+10 1.73E+07 1.72E+07 5.14E+07 5.06E+07 7.34E+07 6.32E+07 7.52E+07 6.68E+07 6.88E+07 5.51E+07 5.17E+07 4.12E+07 3.43E+07 2.64E+07 2.19E+07 1.69E+07 1.34E+07 9.65E+06 7.26E+06 5.45E+06 3.96E+06 2.84E+06 2.05E+06 1.44E+06 9.32E+05 5.87E+05 4.06E+05 2.11E+05 8.02E+04 4.97E+04 3.08E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.629  1.15E+09 2.19E+09 3.65E+10 4.76E+07 4.75E+07 1.42E+08 1.40E+08 2.03E+08 1.75E+08 2.09E+08 1.86E+08 1.92E+08 1.55E+08 1.46E+08 1.17E+08 9.79E+07 7.58E+07 6.34E+07 4.92E+07 3.93E+07 2.88E+07 2.19E+07 1.67E+07 1.23E+07 8.95E+06 6.59E+06 4.73E+06 3.13E+06 2.03E+06 1.10E+06 4.49E+05 1.81E+05 1.56E+05 6.18E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
