                    *********************************************************************************
                    *  Z= 77 A=193: Positive-Parity Spin-dependent Level Density [MeV-1] for IR193  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   4.75  0.520  4.98E+03 8.77E+03 9.42E+04 5.24E+02 9.66E+02 1.19E+03 1.29E+03 1.20E+03 9.44E+02 7.60E+02 5.99E+02 3.81E+02 3.20E+02 1.96E+02 1.45E+02 9.37E+01 5.96E+01 5.37E+01 2.10E+01 1.19E+01 7.46E+00 2.44E+00 2.13E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.534  7.64E+03 1.25E+04 1.35E+05 7.39E+02 1.36E+03 1.71E+03 1.77E+03 1.68E+03 1.35E+03 1.12E+03 8.24E+02 5.65E+02 4.51E+02 2.96E+02 2.23E+02 1.30E+02 1.01E+02 6.89E+01 3.67E+01 1.98E+01 1.09E+01 7.77E+00 2.93E+00 0.00E+00 5.33E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.560  1.81E+04 2.95E+04 3.28E+05 1.68E+03 3.14E+03 3.94E+03 4.06E+03 3.86E+03 3.24E+03 2.72E+03 2.05E+03 1.42E+03 1.06E+03 7.63E+02 5.96E+02 3.33E+02 2.60E+02 1.65E+02 9.93E+01 6.26E+01 3.78E+01 2.59E+01 1.06E+01 4.98E+00 2.13E+00 1.07E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.585  4.29E+04 6.94E+04 7.87E+05 3.71E+03 7.24E+03 8.87E+03 9.50E+03 8.94E+03 7.57E+03 6.34E+03 4.97E+03 3.59E+03 2.56E+03 1.95E+03 1.36E+03 9.14E+02 6.82E+02 4.33E+02 2.86E+02 1.65E+02 1.16E+02 7.59E+01 3.94E+01 1.62E+01 1.59E+01 6.47E+00 2.22E+00 1.56E+00 5.33E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.609  1.00E+05 1.61E+05 1.86E+06 8.29E+03 1.61E+04 2.02E+04 2.14E+04 2.05E+04 1.77E+04 1.48E+04 1.20E+04 8.37E+03 6.32E+03 4.71E+03 3.43E+03 2.29E+03 1.62E+03 1.20E+03 7.69E+02 5.10E+02 3.17E+02 1.87E+02 1.16E+02 6.54E+01 4.35E+01 2.39E+01 1.16E+01 5.85E+00 2.70E+00 1.73E+00 5.33E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.632  2.33E+05 3.69E+05 4.36E+06 1.82E+04 3.56E+04 4.50E+04 4.83E+04 4.66E+04 4.03E+04 3.43E+04 2.76E+04 1.98E+04 1.49E+04 1.13E+04 8.42E+03 5.67E+03 4.16E+03 2.93E+03 1.96E+03 1.35E+03 8.79E+02 5.87E+02 3.54E+02 1.95E+02 1.43E+02 7.60E+01 3.44E+01 2.49E+01 1.25E+01 6.89E+00 3.20E+00 1.60E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.654  5.34E+05 8.36E+05 1.01E+07 3.97E+04 7.95E+04 9.93E+04 1.09E+05 1.04E+05 9.07E+04 7.76E+04 6.29E+04 4.60E+04 3.47E+04 2.69E+04 1.99E+04 1.38E+04 1.02E+04 7.51E+03 5.03E+03 3.37E+03 2.44E+03 1.61E+03 1.05E+03 6.56E+02 3.92E+02 2.52E+02 1.24E+02 8.43E+01 4.56E+01 3.08E+01 1.55E+01 8.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.675  1.22E+06 1.89E+06 2.31E+07 8.84E+04 1.75E+05 2.20E+05 2.42E+05 2.31E+05 2.03E+05 1.75E+05 1.43E+05 1.05E+05 8.05E+04 6.26E+04 4.69E+04 3.31E+04 2.45E+04 1.82E+04 1.25E+04 9.04E+03 6.28E+03 4.30E+03 2.91E+03 1.81E+03 1.24E+03 7.57E+02 4.17E+02 2.76E+02 1.72E+02 9.25E+01 5.07E+01 4.64E+01 5.44E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.696  2.74E+06 4.23E+06 5.27E+07 1.95E+05 3.84E+05 4.85E+05 5.32E+05 5.12E+05 4.51E+05 3.91E+05 3.22E+05 2.38E+05 1.84E+05 1.44E+05 1.10E+05 7.75E+04 5.86E+04 4.36E+04 3.05E+04 2.25E+04 1.61E+04 1.13E+04 7.43E+03 5.11E+03 3.41E+03 2.22E+03 1.38E+03 8.28E+02 5.31E+02 3.14E+02 1.68E+02 1.80E+02 2.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.716  6.15E+06 9.39E+06 1.19E+08 4.23E+05 8.36E+05 1.06E+06 1.17E+06 1.12E+06 9.95E+05 8.65E+05 7.18E+05 5.36E+05 4.16E+05 3.29E+05 2.52E+05 1.80E+05 1.37E+05 1.04E+05 7.40E+04 5.43E+04 4.00E+04 2.85E+04 1.96E+04 1.36E+04 9.04E+03 6.27E+03 3.81E+03 2.56E+03 1.63E+03 9.25E+02 5.90E+02 6.22E+02 9.25E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
