                    *********************************************************************************
                    *  Z= 54 A=130: Positive-Parity Spin-dependent Level Density [MeV-1] for XE130  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   4.75  0.634  2.94E+02 3.87E+02 2.54E+03 6.85E+01 6.02E+01 8.85E+01 5.38E+01 4.43E+01 1.94E+01 1.98E+01 7.54E+00 7.42E+00 8.03E+00 4.42E+00 3.82E+00 1.20E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.650  4.07E+02 5.17E+02 3.57E+03 8.22E+01 7.41E+01 1.25E+02 7.09E+01 5.67E+01 2.87E+01 2.78E+01 1.38E+01 1.12E+01 1.04E+01 8.01E+00 4.42E+00 1.47E+00 1.20E+00 0.00E+00 3.28E-02 5.98E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.682  7.82E+02 9.81E+02 7.31E+03 1.28E+02 1.29E+02 2.18E+02 1.56E+02 1.12E+02 7.37E+01 5.65E+01 2.65E+01 2.59E+01 1.82E+01 1.76E+01 7.50E+00 6.82E+00 3.37E+00 5.98E-01 6.31E-01 6.29E-01 5.98E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.713  1.49E+03 1.87E+03 1.44E+04 2.39E+02 2.25E+02 3.99E+02 2.79E+02 2.33E+02 1.53E+02 1.14E+02 6.63E+01 4.46E+01 4.13E+01 2.67E+01 1.62E+01 1.28E+01 1.02E+01 2.99E+00 1.93E+00 1.83E+00 6.30E-01 5.98E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.742  2.85E+03 3.54E+03 2.77E+04 4.38E+02 4.32E+02 7.44E+02 5.14E+02 4.67E+02 2.93E+02 2.20E+02 1.05E+02 1.12E+02 7.29E+01 5.66E+01 2.34E+01 3.05E+01 1.79E+01 7.78E+00 5.05E+00 2.42E+00 1.87E+00 1.20E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.770  5.49E+03 7.01E+03 5.54E+04 8.42E+02 8.93E+02 1.45E+03 1.05E+03 8.73E+02 5.60E+02 4.10E+02 2.55E+02 2.16E+02 1.50E+02 1.16E+02 6.40E+01 5.68E+01 3.17E+01 2.08E+01 9.31E+00 6.58E+00 2.74E+00 2.45E+00 6.63E-01 5.98E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.797  1.07E+04 1.40E+04 1.15E+05 1.58E+03 1.63E+03 2.86E+03 2.04E+03 1.79E+03 1.12E+03 8.43E+02 5.73E+02 5.09E+02 3.15E+02 2.59E+02 1.57E+02 1.35E+02 6.44E+01 4.18E+01 2.00E+01 1.20E+01 1.27E+01 5.23E+00 2.10E+00 1.79E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.823  2.12E+04 2.81E+04 2.39E+05 3.04E+03 3.12E+03 5.54E+03 4.09E+03 3.49E+03 2.40E+03 1.84E+03 1.29E+03 9.85E+02 6.79E+02 5.43E+02 3.62E+02 2.82E+02 1.52E+02 1.08E+02 5.93E+01 3.53E+01 2.11E+01 2.07E+01 6.88E+00 7.47E+00 2.21E+00 5.98E-01 6.26E-01 5.98E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.848  4.21E+04 5.54E+04 4.85E+05 5.73E+03 5.85E+03 1.06E+04 7.97E+03 6.94E+03 4.90E+03 3.82E+03 2.78E+03 1.94E+03 1.34E+03 1.09E+03 7.91E+02 6.01E+02 3.84E+02 2.45E+02 1.53E+02 9.45E+01 5.32E+01 3.75E+01 2.72E+01 9.86E+00 7.00E+00 2.72E+00 1.37E+00 1.82E+00 5.98E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.873  8.31E+04 1.09E+05 9.72E+05 1.10E+04 1.10E+04 2.05E+04 1.55E+04 1.36E+04 9.83E+03 7.65E+03 5.73E+03 3.68E+03 2.79E+03 2.18E+03 1.66E+03 1.25E+03 8.54E+02 5.92E+02 3.46E+02 2.27E+02 1.25E+02 8.44E+01 4.64E+01 3.38E+01 1.58E+01 8.03E+00 4.36E+00 3.16E+00 1.22E+00 1.23E+00 5.98E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
