                    *********************************************************************************
                    *  Z= 91 A=233: Positive-Parity Spin-dependent Level Density [MeV-1] for PA233  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.75  0.188  1.50E+01 3.97E+01 4.50E+02 1.23E+00 3.52E+00 5.94E+00 5.18E+00 5.35E+00 5.15E+00 4.12E+00 3.09E+00 1.54E+00 1.54E+00 1.03E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.217  2.90E+01 7.54E+01 8.38E+02 4.80E+00 6.17E+00 9.78E+00 1.02E+01 1.00E+01 8.43E+00 7.40E+00 6.69E+00 4.12E+00 3.09E+00 1.54E+00 1.03E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.243  6.40E+01 2.05E+02 2.32E+03 8.40E+00 2.07E+01 2.50E+01 2.83E+01 2.39E+01 2.51E+01 2.23E+01 1.72E+01 1.23E+01 7.72E+00 5.66E+00 3.60E+00 1.54E+00 1.03E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.266  1.34E+02 3.52E+02 4.16E+03 1.39E+01 3.01E+01 3.97E+01 4.49E+01 4.30E+01 4.51E+01 3.67E+01 2.92E+01 2.42E+01 1.70E+01 1.13E+01 6.69E+00 4.12E+00 2.06E+00 1.54E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.287  2.63E+02 6.85E+02 8.72E+03 2.26E+01 4.87E+01 6.75E+01 8.05E+01 7.84E+01 8.12E+01 7.14E+01 6.57E+01 5.34E+01 4.17E+01 2.83E+01 1.80E+01 1.23E+01 6.69E+00 4.12E+00 1.54E+00 1.03E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.307  4.91E+02 1.13E+03 1.44E+04 4.59E+01 8.18E+01 1.14E+02 1.33E+02 1.32E+02 1.32E+02 1.14E+02 9.94E+01 8.04E+01 6.59E+01 5.15E+01 3.19E+01 2.42E+01 1.34E+01 7.20E+00 4.12E+00 1.54E+00 1.03E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.326  9.10E+02 2.22E+03 2.93E+04 7.41E+01 1.51E+02 2.05E+02 2.51E+02 2.45E+02 2.59E+02 2.36E+02 2.07E+02 1.67E+02 1.27E+02 9.54E+01 7.05E+01 5.30E+01 3.19E+01 2.26E+01 1.23E+01 6.69E+00 3.09E+00 1.54E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.344  1.62E+03 3.50E+03 4.68E+04 1.15E+02 2.23E+02 3.20E+02 3.92E+02 3.91E+02 4.07E+02 3.58E+02 3.17E+02 2.72E+02 2.15E+02 1.62E+02 1.07E+02 8.03E+01 5.56E+01 3.86E+01 2.42E+01 1.23E+01 6.69E+00 3.09E+00 1.54E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.360  2.96E+03 7.17E+03 9.63E+04 2.25E+02 4.61E+02 6.39E+02 7.96E+02 8.09E+02 8.45E+02 7.55E+02 6.51E+02 5.37E+02 4.31E+02 3.25E+02 2.36E+02 1.69E+02 1.07E+02 7.56E+01 5.30E+01 2.93E+01 1.70E+01 7.72E+00 4.12E+00 1.54E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.376  5.32E+03 1.17E+04 1.58E+05 3.56E+02 7.36E+02 1.02E+03 1.27E+03 1.31E+03 1.37E+03 1.23E+03 1.09E+03 8.99E+02 7.06E+02 5.40E+02 3.69E+02 2.82E+02 1.80E+02 1.21E+02 8.03E+01 5.30E+01 2.93E+01 1.70E+01 7.20E+00 3.60E+00 1.54E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.392  9.78E+03 2.40E+04 3.30E+05 7.02E+02 1.42E+03 2.04E+03 2.57E+03 2.61E+03 2.75E+03 2.55E+03 2.29E+03 1.94E+03 1.54E+03 1.17E+03 8.03E+02 5.80E+02 3.76E+02 2.68E+02 1.68E+02 1.01E+02 6.59E+01 4.17E+01 2.26E+01 9.26E+00 4.12E+00 1.54E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.406  1.76E+04 3.88E+04 5.38E+05 1.13E+03 2.26E+03 3.27E+03 4.12E+03 4.18E+03 4.40E+03 4.01E+03 3.70E+03 3.13E+03 2.55E+03 1.97E+03 1.38E+03 9.82E+02 6.35E+02 4.30E+02 2.81E+02 1.69E+02 1.01E+02 6.59E+01 3.86E+01 1.80E+01 7.72E+00 3.60E+00 1.54E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.421  3.20E+04 7.59E+04 1.08E+06 2.13E+03 4.17E+03 6.06E+03 7.65E+03 7.89E+03 8.42E+03 7.85E+03 7.31E+03 6.27E+03 5.20E+03 4.03E+03 2.95E+03 2.14E+03 1.41E+03 9.41E+02 5.86E+02 3.50E+02 2.19E+02 1.27E+02 7.56E+01 4.58E+01 2.42E+01 9.26E+00 4.12E+00 1.54E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.435  5.65E+04 1.20E+05 1.71E+06 3.30E+03 6.56E+03 9.52E+03 1.21E+04 1.24E+04 1.32E+04 1.23E+04 1.14E+04 9.79E+03 8.27E+03 6.53E+03 4.73E+03 3.52E+03 2.33E+03 1.58E+03 9.94E+02 5.89E+02 3.50E+02 2.17E+02 1.21E+02 7.05E+01 4.17E+01 1.80E+01 7.20E+00 3.09E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.448  1.00E+05 2.31E+05 3.36E+06 6.12E+03 1.21E+04 1.77E+04 2.25E+04 2.33E+04 2.48E+04 2.34E+04 2.21E+04 1.93E+04 1.62E+04 1.29E+04 9.63E+03 7.22E+03 4.91E+03 3.43E+03 2.18E+03 1.30E+03 7.60E+02 4.53E+02 2.68E+02 1.40E+02 8.03E+01 4.58E+01 2.26E+01 7.72E+00 3.09E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.461  1.75E+05 3.63E+05 5.30E+06 9.57E+03 1.91E+04 2.77E+04 3.53E+04 3.67E+04 3.91E+04 3.66E+04 3.44E+04 2.98E+04 2.56E+04 2.05E+04 1.52E+04 1.14E+04 8.00E+03 5.56E+03 3.61E+03 2.21E+03 1.30E+03 7.54E+02 4.29E+02 2.37E+02 1.27E+02 7.05E+01 3.86E+01 1.70E+01 6.69E+00 1.54E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.474  3.07E+05 6.98E+05 1.03E+07 1.78E+04 3.54E+04 5.16E+04 6.59E+04 6.87E+04 7.36E+04 6.99E+04 6.66E+04 5.85E+04 5.00E+04 4.01E+04 3.04E+04 2.30E+04 1.60E+04 1.14E+04 7.54E+03 4.68E+03 2.85E+03 1.68E+03 9.42E+02 5.03E+02 2.81E+02 1.40E+02 7.56E+01 4.17E+01 1.70E+01 6.69E+00 1.54E+00 1.03E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.486  5.31E+05 1.09E+06 1.62E+07 2.79E+04 5.50E+04 8.05E+04 1.03E+05 1.08E+05 1.15E+05 1.09E+05 1.03E+05 9.02E+04 7.82E+04 6.38E+04 4.78E+04 3.62E+04 2.57E+04 1.82E+04 1.20E+04 7.69E+03 4.71E+03 2.82E+03 1.59E+03 8.25E+02 4.53E+02 2.37E+02 1.21E+02 6.59E+01 2.93E+01 1.23E+01 4.12E+00 1.54E+00 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.510  1.61E+06 3.21E+06 4.87E+07 7.86E+04 1.55E+05 2.27E+05 2.92E+05 3.08E+05 3.32E+05 3.16E+05 3.02E+05 2.67E+05 2.35E+05 1.94E+05 1.48E+05 1.13E+05 8.18E+04 5.87E+04 3.90E+04 2.53E+04 1.58E+04 9.73E+03 5.69E+03 3.11E+03 1.68E+03 8.25E+02 4.29E+02 2.17E+02 1.01E+02 5.30E+01 2.26E+01 7.20E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.532  4.72E+06 9.24E+06 1.43E+08 2.19E+05 4.32E+05 6.33E+05 8.15E+05 8.62E+05 9.33E+05 8.95E+05 8.64E+05 7.72E+05 6.84E+05 5.72E+05 4.43E+05 3.44E+05 2.53E+05 1.85E+05 1.25E+05 8.22E+04 5.20E+04 3.21E+04 1.91E+04 1.07E+04 6.00E+03 3.12E+03 1.59E+03 7.54E+02 3.48E+02 1.68E+02 7.56E+01 3.86E+01 1.29E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.554  1.36E+07 2.62E+07 4.12E+08 6.02E+05 1.19E+06 1.74E+06 2.25E+06 2.39E+06 2.60E+06 2.51E+06 2.43E+06 2.19E+06 1.96E+06 1.65E+06 1.30E+06 1.02E+06 7.62E+05 5.64E+05 3.88E+05 2.61E+05 1.68E+05 1.05E+05 6.33E+04 3.59E+04 2.02E+04 1.08E+04 5.72E+03 2.82E+03 1.29E+03 5.87E+02 2.68E+02 1.21E+02 5.35E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.575  3.85E+07 7.36E+07 1.17E+09 1.64E+06 3.24E+06 4.75E+06 6.16E+06 6.56E+06 7.16E+06 6.94E+06 6.78E+06 6.15E+06 5.53E+06 4.72E+06 3.73E+06 2.96E+06 2.25E+06 1.68E+06 1.18E+06 8.05E+05 5.30E+05 3.36E+05 2.06E+05 1.19E+05 6.80E+04 3.64E+04 1.94E+04 9.88E+03 4.70E+03 2.20E+03 9.42E+02 4.27E+02 1.71E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.595  1.08E+08 2.03E+08 3.28E+09 4.39E+06 8.69E+06 1.28E+07 1.66E+07 1.75E+07 1.92E+07 1.88E+07 1.85E+07 1.69E+07 1.53E+07 1.32E+07 1.06E+07 8.47E+06 6.51E+06 4.94E+06 3.49E+06 2.43E+06 1.62E+06 1.04E+06 6.54E+05 3.87E+05 2.24E+05 1.22E+05 6.61E+04 3.35E+04 1.60E+04 7.77E+03 3.50E+03 1.58E+03 6.02E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.615  2.96E+08 5.53E+08 9.09E+09 1.17E+07 2.31E+07 3.40E+07 4.42E+07 4.69E+07 5.15E+07 5.06E+07 5.04E+07 4.62E+07 4.22E+07 3.62E+07 2.94E+07 2.38E+07 1.85E+07 1.42E+07 1.02E+07 7.17E+06 4.88E+06 3.18E+06 2.02E+06 1.22E+06 7.22E+05 4.04E+05 2.22E+05 1.14E+05 5.50E+04 2.65E+04 1.21E+04 5.69E+03 2.27E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.633  8.08E+08 1.49E+09 2.49E+10 3.07E+07 6.08E+07 8.96E+07 1.17E+08 1.24E+08 1.37E+08 1.35E+08 1.35E+08 1.24E+08 1.14E+08 9.85E+07 8.10E+07 6.61E+07 5.17E+07 4.01E+07 2.92E+07 2.08E+07 1.44E+07 9.49E+06 6.15E+06 3.79E+06 2.28E+06 1.30E+06 7.28E+05 3.81E+05 1.88E+05 9.16E+04 4.18E+04 1.97E+04 8.13E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.652  2.18E+09 3.98E+09 6.72E+10 8.00E+07 1.58E+08 2.34E+08 3.04E+08 3.25E+08 3.59E+08 3.56E+08 3.57E+08 3.31E+08 3.05E+08 2.65E+08 2.20E+08 1.81E+08 1.42E+08 1.12E+08 8.23E+07 5.92E+07 4.17E+07 2.78E+07 1.83E+07 1.15E+07 7.04E+06 4.11E+06 2.34E+06 1.25E+06 6.30E+05 3.14E+05 1.46E+05 6.92E+04 2.83E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.670  5.80E+09 1.05E+10 1.80E+11 2.06E+08 4.09E+08 6.04E+08 7.87E+08 8.43E+08 9.33E+08 9.28E+08 9.34E+08 8.69E+08 8.05E+08 7.05E+08 5.88E+08 4.87E+08 3.87E+08 3.06E+08 2.28E+08 1.66E+08 1.19E+08 8.01E+07 5.35E+07 3.42E+07 2.13E+07 1.27E+07 7.40E+06 4.03E+06 2.07E+06 1.06E+06 5.07E+05 2.44E+05 1.01E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.687  1.53E+10 2.75E+10 4.75E+11 5.28E+08 1.05E+09 1.55E+09 2.02E+09 2.17E+09 2.40E+09 2.40E+09 2.42E+09 2.26E+09 2.11E+09 1.85E+09 1.55E+09 1.29E+09 1.04E+09 8.30E+08 6.23E+08 4.59E+08 3.32E+08 2.27E+08 1.53E+08 1.00E+08 6.33E+07 3.85E+07 2.29E+07 1.28E+07 6.73E+06 3.51E+06 1.73E+06 8.55E+05 3.62E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.721  1.21E+11 1.83E+11 3.23E+12 3.37E+09 6.69E+09 9.90E+09 1.29E+10 1.40E+10 1.56E+10 1.56E+10 1.58E+10 1.49E+10 1.40E+10 1.24E+10 1.05E+10 8.88E+09 7.23E+09 5.86E+09 4.48E+09 3.37E+09 2.49E+09 1.73E+09 1.21E+09 8.10E+08 5.30E+08 3.35E+08 2.07E+08 1.20E+08 6.65E+07 3.66E+07 1.92E+07 1.01E+07 4.45E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.753  8.01E+11 1.18E+12 2.12E+13 2.09E+10 4.15E+10 6.15E+10 8.05E+10 8.72E+10 9.74E+10 9.81E+10 1.00E+11 9.48E+10 8.95E+10 8.02E+10 6.88E+10 5.85E+10 4.83E+10 3.96E+10 3.07E+10 2.35E+10 1.77E+10 1.26E+10 8.94E+09 6.17E+09 4.15E+09 2.71E+09 1.73E+09 1.05E+09 6.07E+08 3.50E+08 1.96E+08 1.09E+08 5.05E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.783  4.10E+12 5.42E+12 1.15E+14 4.87E+10 9.64E+10 1.47E+11 1.97E+11 2.40E+11 2.99E+11 3.58E+11 4.07E+11 4.66E+11 5.22E+11 5.02E+11 4.34E+11 3.72E+11 3.10E+11 2.58E+11 2.02E+11 1.57E+11 1.21E+11 8.67E+10 6.30E+10 4.46E+10 3.07E+10 2.06E+10 1.36E+10 8.51E+09 5.13E+09 3.09E+09 1.82E+09 1.07E+09 5.19E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.813  1.09E+13 8.19E+12 2.47E+14 1.72E+10 3.16E+10 5.22E+10 7.22E+10 6.51E+10 1.17E+11 1.92E+11 2.20E+11 2.94E+11 3.69E+11 4.16E+11 4.81E+11 5.82E+11 5.75E+11 6.45E+11 7.24E+11 7.41E+11 6.71E+11 5.71E+11 4.25E+11 3.07E+11 2.16E+11 1.49E+11 1.01E+11 6.49E+10 4.06E+10 2.54E+10 1.56E+10 9.67E+09 4.84E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.842  1.85E+13 7.05E+12 2.62E+14 9.91E+09 1.67E+10 2.02E+10 2.39E+10 2.10E+10 4.37E+10 5.76E+10 4.22E+10 3.92E+10 1.02E+11 1.63E+11 1.13E+11 1.10E+11 9.64E+10 2.33E+11 4.34E+11 6.66E+11 8.85E+11 9.29E+11 8.57E+11 6.97E+11 5.03E+11 3.52E+11 2.41E+11 1.57E+11 9.96E+10 6.29E+10 3.92E+10 2.48E+10 1.26E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  0.869  2.74E+13 1.07E+13 4.40E+14 5.72E+09 8.85E+09 7.78E+09 7.90E+09 6.78E+09 1.63E+10 1.73E+10 8.09E+09 5.23E+09 2.80E+10 6.36E+10 2.64E+10 2.09E+10 1.62E+10 8.40E+10 2.60E+11 5.99E+11 1.17E+12 1.51E+12 1.73E+12 1.58E+12 1.17E+12 8.32E+11 5.75E+11 3.81E+11 2.44E+11 1.56E+11 9.84E+10 6.35E+10 3.28E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  0.896  4.30E+13 2.04E+13 8.68E+14 3.30E+09 4.68E+09 3.00E+09 2.61E+09 2.19E+09 6.07E+09 5.19E+09 1.55E+09 6.98E+08 7.72E+09 2.49E+10 6.18E+09 3.95E+09 2.71E+09 3.03E+10 1.56E+11 5.39E+11 1.54E+12 2.47E+12 3.49E+12 3.60E+12 2.72E+12 1.97E+12 1.37E+12 9.21E+11 6.00E+11 3.86E+11 2.47E+11 1.63E+11 8.55E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
