                    *********************************************************************************
                    *  Z= 69 A=171: Positive-Parity Spin-dependent Level Density [MeV-1] for TM171  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   4.75  0.553  1.93E+04 3.45E+04 3.95E+05 1.55E+03 2.93E+03 4.04E+03 4.57E+03 4.71E+03 4.29E+03 3.65E+03 2.86E+03 2.12E+03 1.50E+03 9.75E+02 6.19E+02 3.49E+02 1.90E+02 8.51E+01 4.28E+01 1.74E+01 7.38E+00 1.09E+00 0.00E+00 1.52E-02 1.86E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.567  2.98E+04 4.89E+04 5.62E+05 2.17E+03 4.14E+03 5.69E+03 6.45E+03 6.62E+03 5.98E+03 5.20E+03 4.01E+03 3.08E+03 2.14E+03 1.42E+03 9.08E+02 5.14E+02 2.88E+02 1.35E+02 7.08E+01 2.95E+01 1.20E+01 5.19E+00 0.00E+00 4.50E-02 9.01E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.595  7.03E+04 1.13E+05 1.33E+06 4.80E+03 9.31E+03 1.28E+04 1.47E+04 1.51E+04 1.38E+04 1.20E+04 9.45E+03 7.37E+03 5.30E+03 3.55E+03 2.31E+03 1.36E+03 7.73E+02 3.88E+02 2.09E+02 9.83E+01 3.71E+01 2.21E+01 3.66E+00 4.18E-01 1.43E+00 1.86E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.621  1.64E+05 2.60E+05 3.10E+06 1.06E+04 2.07E+04 2.87E+04 3.28E+04 3.39E+04 3.14E+04 2.76E+04 2.19E+04 1.73E+04 1.26E+04 8.70E+03 5.79E+03 3.48E+03 2.02E+03 1.06E+03 5.70E+02 3.00E+02 1.22E+02 6.46E+01 2.31E+01 7.28E+00 3.39E+00 3.39E+00 2.20E-01 1.86E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.647  3.75E+05 5.86E+05 7.12E+06 2.33E+04 4.56E+04 6.31E+04 7.25E+04 7.54E+04 7.02E+04 6.22E+04 5.00E+04 4.01E+04 2.94E+04 2.06E+04 1.41E+04 8.70E+03 5.21E+03 2.82E+03 1.57E+03 8.04E+02 3.94E+02 1.95E+02 8.45E+01 3.43E+01 1.45E+01 6.36E+00 3.28E+00 2.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.671  8.49E+05 1.31E+06 1.62E+07 5.04E+04 9.92E+04 1.38E+05 1.59E+05 1.66E+05 1.56E+05 1.39E+05 1.13E+05 9.13E+04 6.78E+04 4.83E+04 3.36E+04 2.12E+04 1.31E+04 7.25E+03 4.16E+03 2.17E+03 1.15E+03 5.69E+02 2.81E+02 1.14E+02 5.95E+01 1.84E+01 1.38E+01 7.44E+00 2.17E+00 4.47E-02 1.86E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.695  1.90E+06 2.89E+06 3.62E+07 1.09E+05 2.14E+05 2.97E+05 3.42E+05 3.61E+05 3.41E+05 3.07E+05 2.51E+05 2.05E+05 1.54E+05 1.11E+05 7.85E+04 5.03E+04 3.18E+04 1.82E+04 1.07E+04 5.73E+03 3.20E+03 1.63E+03 8.71E+02 3.71E+02 1.97E+02 8.19E+01 3.87E+01 2.76E+01 1.07E+01 1.46E+00 2.36E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.717  4.21E+06 6.34E+06 8.05E+07 2.33E+05 4.59E+05 6.36E+05 7.35E+05 7.84E+05 7.43E+05 6.69E+05 5.53E+05 4.56E+05 3.45E+05 2.52E+05 1.81E+05 1.18E+05 7.62E+04 4.45E+04 2.68E+04 1.49E+04 8.44E+03 4.48E+03 2.50E+03 1.18E+03 6.11E+02 2.93E+02 1.28E+02 8.52E+01 3.44E+01 1.71E+01 6.65E+00 1.46E+00 5.28E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.739  9.24E+06 1.38E+07 1.77E+08 4.94E+05 9.74E+05 1.35E+06 1.57E+06 1.68E+06 1.60E+06 1.45E+06 1.21E+06 1.00E+06 7.65E+05 5.65E+05 4.12E+05 2.72E+05 1.79E+05 1.07E+05 6.56E+04 3.76E+04 2.18E+04 1.20E+04 6.85E+03 3.51E+03 1.80E+03 9.40E+02 4.53E+02 2.59E+02 1.07E+02 6.69E+01 1.97E+01 1.28E+01 2.11E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.761  2.01E+07 2.97E+07 3.87E+08 1.04E+06 2.05E+06 2.85E+06 3.32E+06 3.56E+06 3.41E+06 3.11E+06 2.61E+06 2.18E+06 1.68E+06 1.25E+06 9.23E+05 6.19E+05 4.14E+05 2.52E+05 1.58E+05 9.27E+04 5.50E+04 3.11E+04 1.82E+04 9.65E+03 5.08E+03 2.79E+03 1.43E+03 7.98E+02 3.66E+02 2.09E+02 9.01E+01 4.84E+01 9.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.782  4.33E+07 6.33E+07 8.36E+08 2.18E+06 4.30E+06 5.98E+06 6.97E+06 7.51E+06 7.22E+06 6.61E+06 5.59E+06 4.69E+06 3.65E+06 2.75E+06 2.05E+06 1.39E+06 9.45E+05 5.84E+05 3.72E+05 2.23E+05 1.36E+05 7.84E+04 4.70E+04 2.55E+04 1.40E+04 7.78E+03 4.24E+03 2.33E+03 1.15E+03 6.32E+02 2.98E+02 1.64E+02 4.17E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.802  9.27E+07 1.34E+08 1.79E+09 4.52E+06 8.93E+06 1.24E+07 1.45E+07 1.57E+07 1.52E+07 1.39E+07 1.19E+07 1.00E+07 7.86E+06 5.96E+06 4.49E+06 3.09E+06 2.13E+06 1.33E+06 8.64E+05 5.28E+05 3.28E+05 1.93E+05 1.19E+05 6.58E+04 3.70E+04 2.12E+04 1.20E+04 6.61E+03 3.55E+03 1.93E+03 9.00E+02 5.59E+02 1.66E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.841  4.55E+08 5.89E+08 8.05E+09 1.91E+07 3.78E+07 5.29E+07 6.20E+07 6.74E+07 6.54E+07 6.08E+07 5.22E+07 4.46E+07 3.54E+07 2.73E+07 2.09E+07 1.47E+07 1.04E+07 6.68E+06 4.46E+06 2.81E+06 1.81E+06 1.10E+06 7.08E+05 4.08E+05 2.38E+05 1.44E+05 8.47E+04 4.93E+04 2.76E+04 1.63E+04 7.51E+03 5.18E+03 1.78E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.879  2.01E+09 2.52E+09 3.52E+10 7.91E+07 1.57E+08 2.19E+08 2.58E+08 2.82E+08 2.75E+08 2.58E+08 2.23E+08 1.93E+08 1.55E+08 1.21E+08 9.42E+07 6.74E+07 4.85E+07 3.20E+07 2.18E+07 1.42E+07 9.38E+06 5.90E+06 3.90E+06 2.34E+06 1.41E+06 8.82E+05 5.38E+05 3.26E+05 1.90E+05 1.17E+05 5.60E+04 4.05E+04 1.49E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.914  8.54E+09 1.05E+10 1.50E+11 3.20E+08 6.34E+08 8.89E+08 1.05E+09 1.15E+09 1.13E+09 1.07E+09 9.30E+08 8.10E+08 6.58E+08 5.21E+08 4.11E+08 2.99E+08 2.19E+08 1.47E+08 1.03E+08 6.82E+07 4.62E+07 2.99E+07 2.03E+07 1.25E+07 7.78E+06 5.01E+06 3.15E+06 1.97E+06 1.19E+06 7.62E+05 3.75E+05 2.79E+05 1.10E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
