                    *********************************************************************************
                    *  Z= 27 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for CO 60  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   4.75  0.933  3.66E+02 3.69E+02 2.96E+03 3.62E+01 2.86E+01 7.22E+01 5.43E+01 6.31E+01 4.51E+01 3.34E+01 2.08E+01 8.08E+00 5.41E+00 2.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.957  4.66E+02 4.31E+02 3.48E+03 4.14E+01 3.59E+01 7.91E+01 6.01E+01 8.10E+01 5.01E+01 3.85E+01 2.62E+01 1.12E+01 5.56E+00 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  1.004  7.57E+02 7.32E+02 5.95E+03 8.36E+01 6.43E+01 1.21E+02 1.01E+02 1.21E+02 8.75E+01 6.55E+01 4.86E+01 2.28E+01 1.15E+01 4.14E+00 7.71E-01 5.72E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  1.049  1.27E+03 1.31E+03 1.07E+04 1.36E+02 1.19E+02 2.39E+02 1.91E+02 1.85E+02 1.47E+02 1.18E+02 7.76E+01 4.88E+01 2.58E+01 8.80E+00 5.63E+00 2.86E+00 5.72E-01 5.72E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  1.092  2.12E+03 2.10E+03 1.80E+04 1.83E+02 1.70E+02 3.75E+02 3.21E+02 3.22E+02 2.33E+02 1.91E+02 1.31E+02 8.25E+01 4.31E+01 1.89E+01 1.47E+01 5.62E+00 4.01E+00 1.14E+00 8.33E-02 5.72E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  1.133  3.44E+03 3.19E+03 2.81E+04 2.48E+02 2.60E+02 5.30E+02 4.74E+02 5.25E+02 3.78E+02 2.98E+02 2.02E+02 1.28E+02 7.06E+01 3.75E+01 2.17E+01 7.91E+00 5.94E+00 2.29E+00 8.27E-01 1.72E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  1.173  5.55E+03 5.25E+03 4.70E+04 3.90E+02 4.32E+02 8.65E+02 7.58E+02 8.37E+02 6.34E+02 4.98E+02 3.32E+02 2.22E+02 1.32E+02 7.08E+01 3.84E+01 1.91E+01 1.22E+01 4.35E+00 1.97E+00 2.29E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  1.211  9.07E+03 8.84E+03 8.01E+04 6.70E+02 7.08E+02 1.47E+03 1.29E+03 1.38E+03 1.01E+03 8.31E+02 5.58E+02 3.91E+02 2.43E+02 1.39E+02 6.66E+01 3.83E+01 2.20E+01 1.41E+01 9.90E+00 3.88E+00 2.40E+00 5.72E-01 5.72E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  1.248  1.48E+04 1.40E+04 1.29E+05 9.87E+02 1.03E+03 2.32E+03 2.04E+03 2.18E+03 1.62E+03 1.37E+03 8.93E+02 6.20E+02 4.03E+02 2.10E+02 1.07E+02 6.77E+01 4.06E+01 2.86E+01 1.76E+01 8.46E+00 5.26E+00 2.86E+00 2.29E+00 5.72E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  1.285  2.36E+04 2.13E+04 1.99E+05 1.42E+03 1.50E+03 3.39E+03 3.06E+03 3.49E+03 2.56E+03 2.06E+03 1.42E+03 9.88E+02 6.26E+02 3.20E+02 1.73E+02 9.24E+01 6.58E+01 4.29E+01 2.96E+01 1.53E+01 1.26E+01 5.36E+00 4.18E+00 1.72E+00 6.29E-01 1.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  1.320  3.73E+04 3.37E+04 3.17E+05 2.26E+03 2.48E+03 5.32E+03 4.72E+03 5.36E+03 4.06E+03 3.34E+03 2.27E+03 1.60E+03 1.00E+03 5.03E+02 2.84E+02 1.67E+02 1.17E+02 7.21E+01 4.86E+01 3.09E+01 2.12E+01 1.05E+01 6.17E+00 4.19E+00 1.26E+00 1.72E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  1.354  5.91E+04 5.36E+04 5.06E+05 3.54E+03 3.89E+03 8.66E+03 7.61E+03 8.28E+03 6.32E+03 5.41E+03 3.63E+03 2.63E+03 1.44E+03 7.93E+02 4.76E+02 3.08E+02 1.97E+02 1.37E+02 9.27E+01 6.35E+01 4.18E+01 2.86E+01 1.36E+01 6.15E+00 4.69E+00 2.86E+00 4.96E-02 5.72E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  1.420  1.48E+05 1.24E+05 1.18E+06 7.89E+03 8.67E+03 1.97E+04 1.76E+04 2.01E+04 1.52E+04 1.28E+04 8.87E+03 5.54E+03 2.93E+03 1.74E+03 1.12E+03 7.59E+02 5.10E+02 3.72E+02 2.44E+02 1.72E+02 1.14E+02 7.78E+01 5.34E+01 3.03E+01 2.10E+01 9.73E+00 9.21E+00 5.22E+00 2.29E+00 1.14E+00 5.89E-03 5.72E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  1.483  3.56E+05 2.92E+05 2.76E+06 1.88E+04 2.08E+04 4.69E+04 4.17E+04 4.68E+04 3.60E+04 3.11E+04 1.84E+04 1.10E+04 6.35E+03 4.20E+03 2.86E+03 2.03E+03 1.45E+03 1.03E+03 7.13E+02 5.00E+02 3.40E+02 2.26E+02 1.53E+02 1.04E+02 6.12E+01 4.35E+01 2.59E+01 1.72E+01 8.73E+00 4.07E+00 1.75E+00 1.72E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  1.544  8.21E+05 6.38E+05 5.97E+06 4.17E+04 4.65E+04 1.06E+05 9.46E+04 1.09E+05 8.09E+04 5.94E+04 3.25E+04 2.12E+04 1.33E+04 9.29E+03 6.72E+03 4.88E+03 3.55E+03 2.54E+03 1.83E+03 1.29E+03 9.01E+02 6.40E+02 4.16E+02 2.97E+02 1.91E+02 1.32E+02 8.76E+01 6.24E+01 4.16E+01 2.47E+01 1.49E+01 5.15E+00 6.30E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.602  1.78E+06 1.28E+06 1.17E+07 9.55E+04 1.06E+05 2.43E+05 2.02E+05 2.05E+05 1.24E+05 9.73E+04 5.55E+04 4.12E+04 2.81E+04 2.14E+04 1.61E+04 1.22E+04 9.11E+03 6.65E+03 4.81E+03 3.49E+03 2.45E+03 1.73E+03 1.19E+03 8.12E+02 5.49E+02 3.77E+02 2.44E+02 1.59E+02 1.12E+02 7.50E+01 3.66E+01 2.92E+01 2.69E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
