                    *********************************************************************************
                    *  Z= 30 A= 65: Positive-Parity Spin-dependent Level Density [MeV-1] for ZN 65  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   2.25  0.617  3.00E+00 4.42E+00 3.78E+01 0.00E+00 5.77E-02 8.14E-01 1.54E+00 1.87E+00 1.37E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.650  5.00E+00 8.12E+00 7.40E+01 0.00E+00 1.41E-01 2.11E+00 1.66E+00 2.78E+00 1.37E-01 1.29E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.682  8.00E+00 1.53E+01 1.37E+02 6.20E-02 6.08E-01 3.97E+00 3.21E+00 3.88E+00 2.14E+00 1.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.713  1.20E+01 2.13E+01 1.86E+02 1.53E+00 1.32E+00 4.42E+00 3.69E+00 5.31E+00 2.28E+00 2.14E+00 6.36E-02 5.77E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.742  1.90E+01 3.49E+01 3.00E+02 3.08E+00 3.57E+00 5.36E+00 6.74E+00 7.15E+00 3.62E+00 4.12E+00 6.41E-01 5.77E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.770  2.90E+01 4.19E+01 3.65E+02 4.65E+00 4.61E+00 5.96E+00 7.07E+00 7.25E+00 5.13E+00 4.12E+00 1.85E+00 1.29E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.797  4.10E+01 5.55E+01 4.93E+02 5.11E+00 5.83E+00 9.53E+00 8.20E+00 8.04E+00 8.68E+00 6.10E+00 2.70E+00 1.29E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.823  5.60E+01 6.89E+01 6.11E+02 5.93E+00 9.76E+00 1.09E+01 9.44E+00 8.89E+00 1.11E+01 6.94E+00 3.34E+00 2.58E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.848  7.70E+01 9.33E+01 8.28E+02 8.65E+00 1.26E+01 1.38E+01 1.33E+01 1.44E+01 1.21E+01 9.48E+00 5.79E+00 3.16E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.873  1.04E+02 1.24E+02 1.10E+03 1.08E+01 1.58E+01 1.88E+01 2.05E+01 1.86E+01 1.44E+01 1.31E+01 7.22E+00 3.87E+00 5.77E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.897  1.41E+02 1.72E+02 1.54E+03 1.36E+01 2.26E+01 2.66E+01 2.89E+01 2.76E+01 1.94E+01 1.48E+01 1.24E+01 5.44E+00 5.77E-01 5.77E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.920  1.91E+02 2.26E+02 2.06E+03 1.79E+01 2.84E+01 3.25E+01 3.77E+01 3.43E+01 2.70E+01 2.55E+01 1.38E+01 5.71E+00 2.01E+00 1.15E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.965  3.57E+02 4.38E+02 4.07E+03 2.97E+01 5.59E+01 6.84E+01 7.00E+01 6.66E+01 5.03E+01 4.45E+01 2.35E+01 1.88E+01 6.02E+00 2.74E+00 6.72E-01 5.77E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  1.008  6.64E+02 7.91E+02 7.33E+03 6.32E+01 9.73E+01 1.26E+02 1.30E+02 1.12E+02 8.31E+01 7.36E+01 5.27E+01 3.18E+01 1.07E+01 7.05E+00 1.83E+00 1.73E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  1.049  1.21E+03 1.41E+03 1.32E+04 1.11E+02 1.71E+02 2.28E+02 2.24E+02 1.91E+02 1.57E+02 1.28E+02 8.29E+01 6.46E+01 2.72E+01 1.38E+01 3.74E+00 3.02E+00 1.30E+00 5.77E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  1.088  2.18E+03 2.46E+03 2.33E+04 1.83E+02 3.10E+02 3.99E+02 3.84E+02 3.42E+02 2.66E+02 2.13E+02 1.62E+02 1.07E+02 4.90E+01 2.88E+01 9.39E+00 6.76E+00 2.46E+00 7.60E-01 6.14E-01 5.77E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  1.127  3.90E+03 4.43E+03 4.23E+04 3.52E+02 5.49E+02 6.93E+02 6.67E+02 6.03E+02 4.89E+02 4.10E+02 2.75E+02 1.89E+02 1.04E+02 5.80E+01 1.97E+01 1.25E+01 5.85E+00 3.43E+00 1.19E+00 5.77E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  1.164  6.99E+03 7.92E+03 7.64E+04 6.24E+02 1.02E+03 1.21E+03 1.14E+03 1.06E+03 8.60E+02 7.51E+02 5.14E+02 3.49E+02 1.88E+02 1.15E+02 4.71E+01 2.75E+01 1.00E+01 6.89E+00 2.09E+00 2.02E+00 5.77E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  1.199  1.25E+04 1.41E+04 1.37E+05 1.13E+03 1.76E+03 2.12E+03 2.03E+03 1.85E+03 1.52E+03 1.28E+03 9.34E+02 6.49E+02 3.75E+02 2.10E+02 1.05E+02 6.00E+01 2.42E+01 1.56E+01 6.87E+00 4.32E+00 5.77E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  1.234  2.21E+04 2.46E+04 2.42E+05 1.95E+03 3.07E+03 3.68E+03 3.50E+03 3.19E+03 2.66E+03 2.19E+03 1.60E+03 1.14E+03 7.03E+02 4.14E+02 2.07E+02 1.12E+02 5.27E+01 3.38E+01 1.59E+01 8.55E+00 3.95E+00 2.31E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  1.268  3.90E+04 4.28E+04 4.24E+05 3.37E+03 5.35E+03 6.27E+03 6.25E+03 5.60E+03 4.54E+03 3.80E+03 2.84E+03 1.96E+03 1.23E+03 7.63E+02 4.04E+02 2.28E+02 1.09E+02 6.09E+01 2.87E+01 2.28E+01 9.14E+00 3.32E+00 1.29E+00 5.77E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  1.301  6.82E+04 7.40E+04 7.41E+05 5.56E+03 9.10E+03 1.07E+04 1.08E+04 9.69E+03 7.97E+03 6.58E+03 4.84E+03 3.39E+03 2.24E+03 1.37E+03 7.61E+02 4.43E+02 2.08E+02 1.26E+02 6.15E+01 4.29E+01 1.64E+01 1.15E+01 3.60E+00 1.15E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  1.364  2.15E+05 2.20E+05 2.24E+06 1.56E+04 2.64E+04 3.25E+04 3.25E+04 2.84E+04 2.32E+04 1.91E+04 1.43E+04 1.03E+04 6.97E+03 4.42E+03 2.66E+03 1.56E+03 8.46E+02 5.04E+02 2.58E+02 1.68E+02 8.30E+01 3.97E+01 1.76E+01 9.95E+00 1.15E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  1.425  6.43E+05 6.37E+05 6.54E+06 4.48E+04 7.61E+04 9.42E+04 9.39E+04 8.16E+04 6.63E+04 5.43E+04 4.06E+04 2.93E+04 2.06E+04 1.37E+04 8.67E+03 5.22E+03 3.07E+03 1.83E+03 1.03E+03 6.60E+02 3.43E+02 1.78E+02 8.80E+01 4.94E+01 1.46E+01 7.24E+00 1.56E+00 5.77E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  1.483  1.86E+06 1.80E+06 1.87E+07 1.26E+05 2.15E+05 2.64E+05 2.63E+05 2.29E+05 1.85E+05 1.51E+05 1.14E+05 8.28E+04 5.95E+04 4.05E+04 2.63E+04 1.68E+04 1.04E+04 6.42E+03 3.72E+03 2.28E+03 1.31E+03 7.63E+02 3.74E+02 2.08E+02 8.26E+01 4.13E+01 1.02E+01 5.83E+00 2.14E+00 5.77E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.539  5.24E+06 4.97E+06 5.22E+07 3.44E+05 5.89E+05 7.25E+05 7.23E+05 6.27E+05 5.06E+05 4.12E+05 3.12E+05 2.29E+05 1.68E+05 1.17E+05 7.87E+04 5.13E+04 3.32E+04 2.10E+04 1.28E+04 7.92E+03 4.79E+03 2.83E+03 1.49E+03 8.37E+02 3.95E+02 1.93E+02 6.73E+01 3.33E+01 1.23E+01 5.58E+00 1.32E+00 5.77E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
