                    *********************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for TC100  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   7.50  0.908  5.40E+05 7.51E+05 8.28E+06 3.13E+04 3.66E+04 9.20E+04 8.35E+04 1.09E+05 9.33E+04 9.05E+04 6.78E+04 5.61E+04 3.62E+04 2.51E+04 1.39E+04 8.14E+03 3.96E+03 1.99E+03 7.43E+02 2.93E+02 8.83E+01 2.89E+01 1.04E+01 5.36E+00 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.938  1.11E+06 1.52E+06 1.71E+07 6.23E+04 7.29E+04 1.82E+05 1.66E+05 2.20E+05 1.88E+05 1.82E+05 1.38E+05 1.16E+05 7.63E+04 5.42E+04 3.09E+04 1.85E+04 9.16E+03 4.88E+03 2.00E+03 7.71E+02 2.66E+02 1.00E+02 2.48E+01 9.94E+00 6.02E+00 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.967  2.26E+06 3.09E+06 3.50E+07 1.25E+05 1.45E+05 3.65E+05 3.32E+05 4.41E+05 3.78E+05 3.67E+05 2.81E+05 2.37E+05 1.59E+05 1.15E+05 6.68E+04 4.15E+04 2.13E+04 1.13E+04 4.94E+03 2.18E+03 7.86E+02 2.68E+02 8.59E+01 2.67E+01 1.27E+01 3.01E+00 6.03E-01 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.995  4.60E+06 6.25E+06 7.15E+07 2.48E+05 2.87E+05 7.25E+05 6.62E+05 8.83E+05 7.60E+05 7.39E+05 5.70E+05 4.83E+05 3.26E+05 2.39E+05 1.43E+05 9.05E+04 4.79E+04 2.66E+04 1.20E+04 5.44E+03 2.18E+03 7.72E+02 2.27E+02 7.87E+01 3.41E+01 8.55E+00 3.33E+00 2.41E+00 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  1.022  9.28E+06 1.25E+07 1.44E+08 4.84E+05 5.59E+05 1.42E+06 1.30E+06 1.74E+06 1.50E+06 1.48E+06 1.15E+06 9.78E+05 6.66E+05 4.92E+05 2.98E+05 1.93E+05 1.06E+05 6.01E+04 2.84E+04 1.34E+04 5.26E+03 1.94E+03 6.92E+02 2.47E+02 7.43E+01 2.93E+01 1.19E+01 4.22E+00 6.03E-01 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  1.049  1.85E+07 2.45E+07 2.88E+08 9.30E+05 1.07E+06 2.72E+06 2.50E+06 3.37E+06 2.93E+06 2.90E+06 2.27E+06 1.96E+06 1.35E+06 1.00E+06 6.18E+05 4.05E+05 2.28E+05 1.34E+05 6.51E+04 3.00E+04 1.24E+04 4.91E+03 1.76E+03 6.82E+02 2.59E+02 9.19E+01 2.78E+01 1.45E+01 4.82E+00 1.21E+00 1.06E+00 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  1.100  7.69E+07 9.23E+07 1.11E+09 3.39E+06 3.87E+06 9.92E+06 9.12E+06 1.24E+07 1.08E+07 1.08E+07 8.61E+06 7.55E+06 5.33E+06 4.07E+06 2.58E+06 1.74E+06 1.01E+06 5.90E+05 2.79E+05 1.35E+05 6.14E+04 2.73E+04 1.14E+04 4.90E+03 1.97E+03 7.83E+02 2.95E+02 1.33E+02 3.80E+01 1.51E+01 6.48E+00 4.98E+00 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  1.149  2.93E+08 3.41E+08 4.14E+09 1.22E+07 1.39E+07 3.58E+07 3.29E+07 4.50E+07 3.96E+07 3.99E+07 3.20E+07 2.83E+07 2.03E+07 1.58E+07 1.03E+07 6.82E+06 3.76E+06 2.15E+06 1.07E+06 5.65E+05 2.81E+05 1.39E+05 6.42E+04 3.00E+04 1.33E+04 5.64E+03 2.39E+03 1.01E+03 3.90E+02 1.52E+02 5.97E+01 2.05E+01 9.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  1.196  1.06E+09 1.20E+09 1.46E+10 4.26E+07 4.80E+07 1.25E+08 1.15E+08 1.58E+08 1.40E+08 1.43E+08 1.16E+08 1.04E+08 7.28E+07 5.42E+07 3.35E+07 2.11E+07 1.19E+07 7.26E+06 3.90E+06 2.22E+06 1.19E+06 6.39E+05 3.25E+05 1.64E+05 7.83E+04 3.63E+04 1.64E+04 7.18E+03 2.95E+03 1.21E+03 5.18E+02 2.00E+02 9.95E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.241  3.57E+09 3.81E+09 4.44E+10 1.46E+08 1.63E+08 4.26E+08 3.94E+08 5.45E+08 4.70E+08 4.78E+08 3.43E+08 2.89E+08 1.81E+08 1.39E+08 8.60E+07 5.82E+07 3.47E+07 2.29E+07 1.33E+07 8.24E+06 4.75E+06 2.75E+06 1.51E+06 8.15E+05 4.18E+05 2.08E+05 9.97E+04 4.59E+04 2.03E+04 8.90E+03 3.81E+03 1.56E+03 9.94E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
