                    *********************************************************************************
                    *  Z= 62 A=148: Positive-Parity Spin-dependent Level Density [MeV-1] for SM148  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   4.75  0.594  1.34E+03 2.07E+03 1.31E+04 2.35E+02 3.11E+02 5.32E+02 3.57E+02 3.19E+02 1.56E+02 1.05E+02 2.93E+01 1.74E+01 2.28E+00 1.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.610  1.96E+03 2.86E+03 1.82E+04 3.43E+02 4.06E+02 7.23E+02 5.01E+02 4.39E+02 2.25E+02 1.38E+02 5.16E+01 2.40E+01 4.55E+00 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.639  4.28E+03 6.42E+03 4.24E+04 7.36E+02 8.35E+02 1.59E+03 1.12E+03 1.02E+03 5.46E+02 3.42E+02 1.34E+02 7.35E+01 1.68E+01 8.49E+00 5.82E-01 1.16E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.668  9.41E+03 1.41E+04 9.65E+04 1.49E+03 1.75E+03 3.39E+03 2.48E+03 2.26E+03 1.29E+03 8.15E+02 3.62E+02 1.75E+02 6.23E+01 2.54E+01 4.73E+00 2.59E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.695  2.07E+04 3.09E+04 2.18E+05 3.14E+03 3.62E+03 7.21E+03 5.36E+03 5.04E+03 2.97E+03 1.90E+03 9.09E+02 4.72E+02 1.75E+02 8.52E+01 1.99E+01 9.25E+00 1.16E+00 1.16E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.721  4.50E+04 6.66E+04 4.84E+05 6.21E+03 7.55E+03 1.51E+04 1.15E+04 1.10E+04 6.63E+03 4.40E+03 2.19E+03 1.19E+03 4.95E+02 2.25E+02 7.49E+01 3.26E+01 5.23E+00 2.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.747  9.75E+04 1.43E+05 1.07E+06 1.30E+04 1.55E+04 3.18E+04 2.43E+04 2.36E+04 1.47E+04 9.95E+03 5.23E+03 2.87E+03 1.32E+03 6.28E+02 2.28E+02 1.02E+02 2.47E+01 1.05E+01 1.16E+00 1.16E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.771  2.10E+05 3.06E+05 2.33E+06 2.65E+04 3.21E+04 6.62E+04 5.16E+04 5.03E+04 3.20E+04 2.23E+04 1.22E+04 6.91E+03 3.29E+03 1.65E+03 6.77E+02 2.70E+02 8.69E+01 3.43E+01 5.82E+00 2.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.795  4.49E+05 6.49E+05 5.06E+06 5.46E+04 6.56E+04 1.37E+05 1.08E+05 1.07E+05 6.92E+04 4.91E+04 2.78E+04 1.61E+04 8.16E+03 4.15E+03 1.82E+03 7.62E+02 2.74E+02 1.18E+02 2.85E+01 1.10E+01 1.16E+00 1.16E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.818  9.53E+05 1.37E+06 1.09E+07 1.12E+05 1.34E+05 2.83E+05 2.24E+05 2.24E+05 1.48E+05 1.07E+05 6.19E+04 3.71E+04 1.94E+04 1.03E+04 4.38E+03 2.02E+03 8.16E+02 3.46E+02 1.04E+02 3.84E+01 6.40E+00 2.91E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.840  2.01E+06 2.87E+06 2.32E+07 2.29E+05 2.72E+05 5.80E+05 4.63E+05 4.68E+05 3.13E+05 2.30E+05 1.37E+05 8.36E+04 4.55E+04 2.42E+04 1.07E+04 5.19E+03 2.31E+03 1.03E+03 3.52E+02 1.41E+02 3.08E+01 1.28E+01 2.56E+00 1.16E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
