                    *********************************************************************************
                    *  Z= 95 A=243: Positive-Parity Spin-dependent Level Density [MeV-1] for AM243  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   4.75  0.464  4.27E+05 9.84E+05 1.54E+07 2.22E+04 4.43E+04 6.53E+04 8.44E+04 8.94E+04 9.81E+04 9.56E+04 9.16E+04 8.32E+04 7.21E+04 6.22E+04 4.84E+04 3.84E+04 2.87E+04 2.13E+04 1.48E+04 9.74E+03 6.18E+03 3.78E+03 2.19E+03 1.26E+03 6.71E+02 3.49E+02 1.68E+02 8.23E+01 3.87E+01 1.15E+01 2.97E+00 1.25E+00 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.476  7.44E+05 1.55E+06 2.44E+07 3.49E+04 6.95E+04 1.03E+05 1.33E+05 1.41E+05 1.54E+05 1.49E+05 1.42E+05 1.28E+05 1.14E+05 9.87E+04 7.66E+04 6.05E+04 4.60E+04 3.44E+04 2.39E+04 1.61E+04 1.02E+04 6.40E+03 3.71E+03 2.18E+03 1.18E+03 6.34E+02 3.11E+02 1.42E+02 6.62E+01 2.84E+01 6.75E+00 2.86E+00 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.499  2.29E+06 4.63E+06 7.43E+07 1.01E+05 2.00E+05 2.96E+05 3.84E+05 4.10E+05 4.50E+05 4.37E+05 4.19E+05 3.82E+05 3.41E+05 3.00E+05 2.36E+05 1.89E+05 1.46E+05 1.11E+05 7.87E+04 5.44E+04 3.53E+04 2.28E+04 1.37E+04 8.34E+03 4.67E+03 2.64E+03 1.35E+03 6.65E+02 3.16E+02 1.35E+02 6.36E+01 2.78E+01 9.18E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.521  6.84E+06 1.36E+07 2.22E+08 2.87E+05 5.70E+05 8.41E+05 1.10E+06 1.17E+06 1.29E+06 1.26E+06 1.22E+06 1.12E+06 1.01E+06 8.92E+05 7.12E+05 5.75E+05 4.51E+05 3.48E+05 2.52E+05 1.77E+05 1.17E+05 7.76E+04 4.83E+04 3.04E+04 1.76E+04 1.04E+04 5.44E+03 2.89E+03 1.43E+03 6.85E+02 3.16E+02 1.59E+02 5.89E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.542  2.01E+07 3.93E+07 6.54E+08 8.05E+05 1.60E+06 2.36E+06 3.08E+06 3.31E+06 3.66E+06 3.59E+06 3.48E+06 3.22E+06 2.92E+06 2.61E+06 2.10E+06 1.72E+06 1.36E+06 1.06E+06 7.82E+05 5.62E+05 3.78E+05 2.56E+05 1.63E+05 1.06E+05 6.34E+04 3.89E+04 2.11E+04 1.17E+04 6.16E+03 3.18E+03 1.60E+03 7.93E+02 3.20E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.563  5.79E+07 1.12E+08 1.89E+09 2.23E+06 4.43E+06 6.56E+06 8.57E+06 9.24E+06 1.02E+07 1.01E+07 9.81E+06 9.13E+06 8.32E+06 7.49E+06 6.10E+06 5.02E+06 4.03E+06 3.19E+06 2.38E+06 1.73E+06 1.19E+06 8.20E+05 5.36E+05 3.57E+05 2.19E+05 1.39E+05 7.82E+04 4.50E+04 2.47E+04 1.33E+04 7.21E+03 3.71E+03 1.58E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.583  1.64E+08 3.14E+08 5.39E+09 6.12E+06 1.21E+07 1.80E+07 2.35E+07 2.51E+07 2.79E+07 2.77E+07 2.71E+07 2.55E+07 2.33E+07 2.11E+07 1.74E+07 1.45E+07 1.17E+07 9.36E+06 7.08E+06 5.24E+06 3.64E+06 2.55E+06 1.70E+06 1.16E+06 7.29E+05 4.75E+05 2.76E+05 1.65E+05 9.37E+04 5.30E+04 2.98E+04 1.60E+04 7.07E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.602  4.61E+08 8.72E+08 1.52E+10 1.66E+07 3.29E+07 4.87E+07 6.38E+07 6.84E+07 7.62E+07 7.58E+07 7.53E+07 7.05E+07 6.49E+07 5.88E+07 4.88E+07 4.10E+07 3.35E+07 2.70E+07 2.07E+07 1.55E+07 1.09E+07 7.78E+06 5.31E+06 3.69E+06 2.37E+06 1.58E+06 9.40E+05 5.79E+05 3.41E+05 2.00E+05 1.17E+05 6.51E+04 2.96E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.620  1.28E+09 2.39E+09 4.23E+10 4.44E+07 8.82E+07 1.31E+08 1.71E+08 1.84E+08 2.05E+08 2.05E+08 2.05E+08 1.92E+08 1.78E+08 1.62E+08 1.36E+08 1.15E+08 9.42E+07 7.65E+07 5.93E+07 4.48E+07 3.21E+07 2.32E+07 1.61E+07 1.14E+07 7.46E+06 5.09E+06 3.10E+06 1.96E+06 1.19E+06 7.23E+05 4.37E+05 2.49E+05 1.18E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.638  3.50E+09 6.50E+09 1.16E+11 1.18E+08 2.34E+08 3.47E+08 4.56E+08 4.91E+08 5.49E+08 5.50E+08 5.50E+08 5.18E+08 4.82E+08 4.41E+08 3.72E+08 3.16E+08 2.62E+08 2.14E+08 1.68E+08 1.28E+08 9.26E+07 6.78E+07 4.77E+07 3.43E+07 2.29E+07 1.59E+07 9.94E+06 6.44E+06 4.02E+06 2.50E+06 1.56E+06 9.10E+05 4.41E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
