                    *********************************************************************************
                    *  Z= 29 A= 64: Positive-Parity Spin-dependent Level Density [MeV-1] for CU 64  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   4.75  0.904  4.23E+02 4.09E+02 2.81E+03 6.42E+01 4.44E+01 8.23E+01 6.57E+01 6.48E+01 3.61E+01 2.59E+01 1.41E+01 5.56E+00 3.24E+00 2.20E-01 1.45E+00 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.927  5.35E+02 4.86E+02 3.39E+03 7.35E+01 5.47E+01 9.38E+01 7.88E+01 7.74E+01 4.34E+01 3.08E+01 1.85E+01 7.10E+00 4.06E+00 1.43E+00 1.45E+00 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.972  8.55E+02 7.98E+02 5.81E+03 9.28E+01 8.84E+01 1.75E+02 1.27E+02 1.28E+02 7.49E+01 5.33E+01 2.60E+01 1.50E+01 7.29E+00 4.81E+00 2.76E+00 1.47E+00 1.21E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  1.016  1.37E+03 1.28E+03 9.53E+03 1.48E+02 1.30E+02 2.65E+02 2.16E+02 2.01E+02 1.31E+02 8.17E+01 4.71E+01 2.79E+01 1.14E+01 1.07E+01 3.80E+00 2.36E+00 2.41E+00 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  1.057  2.21E+03 2.07E+03 1.63E+04 2.03E+02 1.97E+02 4.21E+02 3.42E+02 3.17E+02 2.35E+02 1.49E+02 8.50E+01 5.05E+01 3.20E+01 1.61E+01 8.88E+00 7.05E+00 3.50E+00 3.62E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  1.097  3.56E+03 3.34E+03 2.71E+04 3.08E+02 3.29E+02 6.39E+02 5.39E+02 5.18E+02 3.60E+02 2.63E+02 1.52E+02 9.55E+01 5.95E+01 2.77E+01 1.77E+01 1.35E+01 7.77E+00 5.37E+00 3.02E+00 6.03E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  1.135  5.74E+03 5.34E+03 4.44E+04 4.45E+02 5.42E+02 9.90E+02 8.43E+02 8.79E+02 5.62E+02 4.36E+02 2.46E+02 1.61E+02 9.01E+01 5.45E+01 3.82E+01 2.35E+01 1.83E+01 7.18E+00 4.75E+00 2.41E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  1.173  9.21E+03 8.57E+03 7.26E+04 6.95E+02 7.96E+02 1.66E+03 1.30E+03 1.35E+03 9.72E+02 6.68E+02 4.09E+02 2.92E+02 1.61E+02 9.45E+01 6.30E+01 5.18E+01 2.90E+01 1.48E+01 9.78E+00 4.22E+00 1.21E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  1.209  1.48E+04 1.37E+04 1.17E+05 1.16E+03 1.20E+03 2.51E+03 2.12E+03 2.15E+03 1.54E+03 1.09E+03 7.10E+02 4.60E+02 2.60E+02 1.54E+02 1.06E+02 7.48E+01 5.62E+01 3.39E+01 1.60E+01 8.65E+00 5.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  1.244  2.36E+04 2.16E+04 1.88E+05 1.72E+03 1.88E+03 3.94E+03 3.31E+03 3.42E+03 2.42E+03 1.85E+03 1.15E+03 7.34E+02 4.66E+02 2.33E+02 1.50E+02 1.48E+02 8.27E+01 5.43E+01 3.29E+01 1.53E+01 9.37E+00 3.02E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
