                    *********************************************************************************
                    *  Z= 76 A=188: Positive-Parity Spin-dependent Level Density [MeV-1] for OS188  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   4.75  0.527  2.10E+03 3.61E+03 3.73E+04 2.06E+02 2.09E+02 4.99E+02 4.35E+02 5.79E+02 4.21E+02 4.09E+02 2.66E+02 2.22E+02 1.30E+02 9.31E+01 5.52E+01 3.60E+01 1.88E+01 1.31E+01 6.51E+00 4.67E+00 1.75E+00 2.01E+00 2.28E-02 4.33E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.541  3.19E+03 5.11E+03 5.32E+04 2.96E+02 2.90E+02 7.16E+02 6.10E+02 7.92E+02 5.86E+02 5.83E+02 3.87E+02 3.27E+02 1.90E+02 1.37E+02 7.64E+01 5.41E+01 2.90E+01 1.97E+01 8.35E+00 7.10E+00 2.89E+00 2.15E+00 5.97E-01 5.74E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.567  7.46E+03 1.19E+04 1.27E+05 6.58E+02 6.59E+02 1.63E+03 1.42E+03 1.81E+03 1.33E+03 1.34E+03 9.38E+02 8.06E+02 4.99E+02 3.47E+02 1.88E+02 1.36E+02 7.45E+01 4.17E+01 2.39E+01 1.74E+01 6.42E+00 6.74E+00 1.49E+00 1.44E+00 1.05E-01 8.67E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.593  1.74E+04 2.78E+04 3.02E+05 1.45E+03 1.44E+03 3.67E+03 3.29E+03 4.12E+03 3.10E+03 3.13E+03 2.25E+03 1.88E+03 1.25E+03 8.62E+02 5.03E+02 3.33E+02 2.05E+02 1.25E+02 7.52E+01 5.22E+01 2.88E+01 2.01E+01 7.24E+00 6.49E+00 2.14E+00 1.83E+00 4.33E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.617  4.04E+04 6.43E+04 7.14E+05 3.18E+03 3.21E+03 8.28E+03 7.44E+03 9.39E+03 7.19E+03 7.17E+03 5.25E+03 4.42E+03 3.04E+03 2.11E+03 1.34E+03 8.91E+02 5.21E+02 3.46E+02 2.04E+02 1.43E+02 7.65E+01 5.27E+01 2.12E+01 1.27E+01 6.89E+00 4.38E+00 1.87E+00 1.30E+00 4.73E-01 4.33E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.640  9.31E+04 1.46E+05 1.66E+06 6.89E+03 6.92E+03 1.82E+04 1.65E+04 2.11E+04 1.65E+04 1.64E+04 1.22E+04 1.03E+04 7.25E+03 4.98E+03 3.37E+03 2.19E+03 1.37E+03 8.92E+02 5.41E+02 3.66E+02 2.22E+02 1.46E+02 6.39E+01 3.48E+01 1.86E+01 1.43E+01 3.92E+00 4.77E+00 1.32E+00 8.67E-01 1.25E-01 4.33E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.662  2.12E+05 3.29E+05 3.81E+06 1.52E+04 1.52E+04 3.97E+04 3.64E+04 4.67E+04 3.65E+04 3.69E+04 2.79E+04 2.35E+04 1.68E+04 1.18E+04 8.06E+03 5.48E+03 3.50E+03 2.29E+03 1.39E+03 9.74E+02 5.68E+02 3.62E+02 1.46E+02 8.60E+01 4.10E+01 3.55E+01 1.46E+01 1.34E+01 5.33E+00 3.90E+00 2.29E+00 5.71E-01 4.33E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.684  4.79E+05 7.39E+05 8.67E+06 3.31E+04 3.32E+04 8.71E+04 8.02E+04 1.04E+05 8.10E+04 8.26E+04 6.26E+04 5.36E+04 3.87E+04 2.74E+04 1.92E+04 1.30E+04 8.61E+03 5.71E+03 3.64E+03 2.48E+03 1.60E+03 7.70E+02 3.52E+02 2.35E+02 1.35E+02 9.06E+01 6.10E+01 3.38E+01 2.20E+01 1.54E+01 8.74E+00 4.53E+00 1.73E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.705  1.08E+06 1.64E+06 1.96E+07 7.18E+04 7.25E+04 1.90E+05 1.75E+05 2.27E+05 1.79E+05 1.84E+05 1.39E+05 1.20E+05 8.82E+04 6.29E+04 4.49E+04 3.10E+04 2.09E+04 1.41E+04 9.26E+03 6.36E+03 3.39E+03 1.63E+03 8.47E+02 5.93E+02 3.56E+02 2.67E+02 1.37E+02 1.14E+02 5.45E+01 5.20E+01 2.44E+01 2.21E+01 9.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.726  2.39E+06 3.62E+06 4.37E+07 1.54E+05 1.56E+05 4.09E+05 3.81E+05 4.94E+05 3.92E+05 4.03E+05 3.08E+05 2.68E+05 1.99E+05 1.43E+05 1.04E+05 7.22E+04 4.99E+04 3.38E+04 2.28E+04 1.45E+04 6.83E+03 3.52E+03 2.14E+03 1.46E+03 9.72E+02 7.02E+02 4.25E+02 3.01E+02 1.70E+02 1.24E+02 7.03E+01 4.62E+01 4.68E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
