                    *********************************************************************************
                    *  Z= 93 A=237: Positive-Parity Spin-dependent Level Density [MeV-1] for NP237  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   4.75  0.470  4.55E+05 1.04E+06 1.57E+07 2.54E+04 5.07E+04 7.46E+04 9.58E+04 1.01E+05 1.06E+05 1.06E+05 9.75E+04 8.78E+04 7.65E+04 6.19E+04 4.74E+04 3.74E+04 2.66E+04 1.80E+04 1.25E+04 7.89E+03 4.75E+03 2.65E+03 1.50E+03 8.04E+02 3.91E+02 1.78E+02 8.12E+01 3.40E+01 1.41E+01 5.75E+00 1.57E+00 1.05E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.482  7.90E+05 1.64E+06 2.48E+07 3.99E+04 7.96E+04 1.17E+05 1.50E+05 1.59E+05 1.66E+05 1.65E+05 1.50E+05 1.35E+05 1.21E+05 9.81E+04 7.49E+04 5.90E+04 4.30E+04 2.92E+04 2.05E+04 1.31E+04 7.87E+03 4.53E+03 2.55E+03 1.36E+03 6.78E+02 3.19E+02 1.44E+02 6.53E+01 2.67E+01 1.10E+01 4.18E+00 1.05E+00 1.05E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.505  2.41E+06 4.86E+06 7.50E+07 1.14E+05 2.27E+05 3.34E+05 4.32E+05 4.59E+05 4.81E+05 4.81E+05 4.42E+05 4.02E+05 3.62E+05 2.99E+05 2.31E+05 1.85E+05 1.37E+05 9.51E+04 6.82E+04 4.49E+04 2.75E+04 1.62E+04 9.42E+03 5.27E+03 2.67E+03 1.30E+03 6.02E+02 2.64E+02 1.12E+02 4.17E+01 1.67E+01 7.32E+00 1.57E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.528  7.17E+06 1.42E+07 2.23E+08 3.23E+05 6.42E+05 9.45E+05 1.23E+06 1.31E+06 1.37E+06 1.38E+06 1.28E+06 1.17E+06 1.06E+06 8.90E+05 6.96E+05 5.66E+05 4.24E+05 3.01E+05 2.20E+05 1.48E+05 9.27E+04 5.63E+04 3.39E+04 1.93E+04 1.01E+04 5.17E+03 2.44E+03 1.14E+03 4.89E+02 1.96E+02 7.99E+01 2.81E+01 1.05E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.549  2.09E+07 4.07E+07 6.51E+08 9.01E+05 1.79E+06 2.63E+06 3.42E+06 3.66E+06 3.87E+06 3.91E+06 3.64E+06 3.36E+06 3.07E+06 2.60E+06 2.05E+06 1.69E+06 1.28E+06 9.28E+05 6.91E+05 4.75E+05 3.04E+05 1.89E+05 1.17E+05 6.90E+04 3.74E+04 1.96E+04 9.71E+03 4.70E+03 2.06E+03 8.78E+02 3.45E+02 1.26E+02 4.08E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.570  5.99E+07 1.15E+08 1.87E+09 2.48E+06 4.91E+06 7.24E+06 9.43E+06 1.01E+07 1.07E+07 1.09E+07 1.02E+07 9.47E+06 8.73E+06 7.45E+06 5.94E+06 4.94E+06 3.81E+06 2.79E+06 2.11E+06 1.48E+06 9.64E+05 6.13E+05 3.90E+05 2.37E+05 1.33E+05 7.23E+04 3.71E+04 1.86E+04 8.56E+03 3.78E+03 1.62E+03 6.16E+02 2.11E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.590  1.69E+08 3.21E+08 5.30E+09 6.73E+06 1.33E+07 1.97E+07 2.57E+07 2.73E+07 2.92E+07 2.98E+07 2.82E+07 2.63E+07 2.44E+07 2.10E+07 1.69E+07 1.42E+07 1.11E+07 8.24E+06 6.32E+06 4.50E+06 2.98E+06 1.94E+06 1.26E+06 7.85E+05 4.54E+05 2.56E+05 1.37E+05 7.13E+04 3.43E+04 1.60E+04 7.29E+03 2.84E+03 1.02E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.609  4.70E+08 8.85E+08 1.48E+10 1.81E+07 3.58E+07 5.29E+07 6.91E+07 7.38E+07 7.92E+07 8.09E+07 7.77E+07 7.25E+07 6.74E+07 5.81E+07 4.73E+07 4.01E+07 3.16E+07 2.38E+07 1.85E+07 1.34E+07 8.99E+06 5.98E+06 3.97E+06 2.54E+06 1.51E+06 8.78E+05 4.85E+05 2.63E+05 1.33E+05 6.56E+04 3.15E+04 1.29E+04 4.77E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.628  1.29E+09 2.41E+09 4.10E+10 4.80E+07 9.52E+07 1.41E+08 1.84E+08 1.97E+08 2.12E+08 2.17E+08 2.10E+08 1.96E+08 1.83E+08 1.59E+08 1.31E+08 1.12E+08 8.86E+07 6.76E+07 5.32E+07 3.89E+07 2.66E+07 1.80E+07 1.22E+07 7.96E+06 4.86E+06 2.92E+06 1.66E+06 9.32E+05 4.92E+05 2.55E+05 1.30E+05 5.59E+04 2.18E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.646  3.52E+09 6.50E+09 1.12E+11 1.26E+08 2.51E+08 3.71E+08 4.85E+08 5.21E+08 5.62E+08 5.78E+08 5.60E+08 5.26E+08 4.94E+08 4.32E+08 3.58E+08 3.08E+08 2.45E+08 1.90E+08 1.51E+08 1.11E+08 7.72E+07 5.31E+07 3.66E+07 2.44E+07 1.52E+07 9.40E+06 5.50E+06 3.18E+06 1.75E+06 9.52E+05 5.08E+05 2.29E+05 9.38E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
