                    *********************************************************************************
                    *  Z= 63 A=153: Positive-Parity Spin-dependent Level Density [MeV-1] for EU153  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   4.75  0.584  1.86E+04 3.43E+04 3.67E+05 1.60E+03 3.25E+03 4.59E+03 5.10E+03 4.97E+03 4.23E+03 3.50E+03 2.56E+03 1.80E+03 1.18E+03 7.16E+02 4.09E+02 2.08E+02 1.03E+02 4.28E+01 1.65E+01 5.94E+00 1.69E+00 8.43E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.600  2.90E+04 4.92E+04 5.29E+05 2.32E+03 4.67E+03 6.53E+03 7.26E+03 7.00E+03 6.00E+03 5.13E+03 3.67E+03 2.62E+03 1.75E+03 1.05E+03 5.94E+02 3.16E+02 1.62E+02 7.02E+01 2.61E+01 1.03E+01 2.53E+00 8.43E-01 4.21E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.629  7.06E+04 1.17E+05 1.29E+06 5.38E+03 1.07E+04 1.50E+04 1.68E+04 1.64E+04 1.42E+04 1.23E+04 9.09E+03 6.64E+03 4.44E+03 2.80E+03 1.61E+03 8.68E+02 4.55E+02 2.08E+02 8.58E+01 3.50E+01 1.13E+01 2.53E+00 8.43E-01 4.21E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.657  1.69E+05 2.75E+05 3.07E+06 1.23E+04 2.45E+04 3.41E+04 3.82E+04 3.80E+04 3.33E+04 2.92E+04 2.19E+04 1.61E+04 1.11E+04 7.13E+03 4.27E+03 2.39E+03 1.23E+03 5.99E+02 2.49E+02 1.10E+02 4.12E+01 9.69E+00 2.53E+00 8.43E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.684  3.96E+05 6.36E+05 7.22E+06 2.79E+04 5.53E+04 7.65E+04 8.62E+04 8.65E+04 7.70E+04 6.80E+04 5.16E+04 3.87E+04 2.70E+04 1.77E+04 1.09E+04 6.23E+03 3.36E+03 1.63E+03 7.22E+02 3.10E+02 1.28E+02 3.64E+01 9.14E+00 1.69E+00 1.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.709  9.20E+05 1.46E+06 1.68E+07 6.25E+04 1.24E+05 1.71E+05 1.93E+05 1.96E+05 1.75E+05 1.57E+05 1.20E+05 9.12E+04 6.46E+04 4.30E+04 2.71E+04 1.60E+04 8.84E+03 4.49E+03 2.03E+03 9.41E+02 3.85E+02 1.35E+02 3.99E+01 1.22E+01 3.63E+00 2.26E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.734  2.11E+06 3.30E+06 3.87E+07 1.39E+05 2.74E+05 3.77E+05 4.26E+05 4.36E+05 3.97E+05 3.58E+05 2.77E+05 2.12E+05 1.52E+05 1.03E+05 6.60E+04 4.01E+04 2.28E+04 1.19E+04 5.67E+03 2.65E+03 1.17E+03 4.37E+02 1.55E+02 5.51E+01 1.57E+01 6.68E+00 4.45E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.758  4.79E+06 7.43E+06 8.84E+07 3.05E+05 6.02E+05 8.27E+05 9.39E+05 9.75E+05 8.91E+05 8.04E+05 6.31E+05 4.90E+05 3.56E+05 2.43E+05 1.59E+05 9.82E+04 5.73E+04 3.08E+04 1.52E+04 7.41E+03 3.36E+03 1.39E+03 5.29E+02 2.12E+02 7.03E+01 3.01E+01 1.29E+01 2.73E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.782  1.08E+07 1.66E+07 2.00E+08 6.64E+05 1.31E+06 1.80E+06 2.05E+06 2.14E+06 1.97E+06 1.79E+06 1.43E+06 1.11E+06 8.18E+05 5.66E+05 3.76E+05 2.37E+05 1.42E+05 7.78E+04 3.94E+04 1.99E+04 9.48E+03 4.10E+03 1.69E+03 6.93E+02 2.68E+02 9.80E+01 4.51E+01 1.69E+01 1.01E+00 1.43E-01 2.93E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.804  2.41E+07 3.65E+07 4.46E+08 1.43E+06 2.82E+06 3.88E+06 4.44E+06 4.66E+06 4.32E+06 3.96E+06 3.18E+06 2.50E+06 1.87E+06 1.30E+06 8.79E+05 5.65E+05 3.43E+05 1.93E+05 1.00E+05 5.21E+04 2.57E+04 1.18E+04 5.09E+03 2.22E+03 8.98E+02 3.47E+02 1.50E+02 5.81E+01 1.29E+01 3.59E+00 8.68E-01 8.78E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
